"","number","color"
"113",3,"Red"
"114",4,"Blue"
"115",5,"Blue"
"116",6,"Blue"
"117",7,"Black"
"118",8,"Black"
"119",9,"Blue"
"120",10,"Red"
"121",1,"Black"
"122",2,"Blue"
"123",3,"Blue"
"124",4,"Blue"
"125",5,"Red"
"126",6,"Black"
"127",7,"Red"
"128",8,"Red"
"129",9,"Black"
"130",10,"Red"
"131",1,"Red"
"132",2,"Blue"
"133",3,"Blue"
"134",4,"Red"
"135",5,"Red"
"136",6,"Blue"
"137",7,"Red"
"138",8,"Black"
"139",9,"Red"
"140",10,"Blue"
"141",1,"Black"
"142",2,"Black"
"143",3,"Blue"
"144",4,"Red"
"145",5,"Red"
"146",6,"Red"
"147",7,"Black"
"148",8,"Red"
"149",9,"Black"
"150",10,"Black"
"151",1,"Red"
"152",2,"Black"
"153",3,"Red"
"154",4,"Black"
"155",5,"Blue"
"156",6,"Red"
"157",7,"Black"
"158",8,"Black"
"159",9,"Black"
"160",10,"Blue"
"161",1,"Red"
"162",2,"Blue"
"163",3,"Blue"
"164",4,"Black"
"165",5,"Blue"
"166",6,"Black"
"167",7,"Blue"
"168",8,"Black"
"169",9,"Black"
"170",10,"Black"
"171",1,"Red"
"172",2,"Blue"
"173",3,"Blue"
"174",4,"Blue"
"175",5,"Blue"
"176",6,"Black"
"177",7,"Red"
"178",8,"Blue"
"179",9,"Red"
"180",10,"Red"
"181",1,"Red"
"182",2,"Red"
"183",3,"Black"
"184",4,"Black"
"185",5,"Red"
"186",6,"Red"
"187",7,"Red"
"188",8,"Red"
"189",9,"Black"
"190",10,"Black"
"191",1,"Black"
"192",2,"Red"
"193",3,"Black"
"194",4,"Black"
"195",5,"Black"
"196",6,"Black"
"197",7,"Blue"
"198",8,"Black"
"199",9,"Red"
"200",10,"Red"
"201",1,"Red"
"202",2,"Blue"
"203",3,"Red"
"204",4,"Blue"
"205",5,"Black"
"206",6,"Blue"
"207",7,"Red"
"208",8,"Blue"
"209",9,"Black"
"210",10,"Black"
"211",1,"Blue"
"212",2,"Blue"
"213",3,"Black"
"214",4,"Black"
"215",5,"Blue"
"216",6,"Red"
"217",7,"Blue"
"218",8,"Black"
"219",9,"Blue"
"220",10,"Red"
"221",1,"Blue"
"222",2,"Black"
"223",3,"Blue"
"224",4,"Red"
"225",5,"Black"
"226",6,"Red"
"227",7,"Black"
"228",8,"Black"
"229",9,"Black"
"230",10,"Black"
"231",1,"Black"
"232",2,"Black"
"233",3,"Black"
"234",4,"Black"
"235",5,"Red"
"236",6,"Red"
"237",7,"Black"
"238",8,"Red"
"239",9,"Blue"
"240",10,"Blue"
"241",1,"Black"
"242",2,"Blue"
"243",3,"Black"
"244",4,"Black"
"245",5,"Blue"
"246",6,"Blue"
"247",7,"Black"
"248",8,"Black"
"249",9,"Blue"
"250",10,"Red"
"251",1,"Black"
"252",2,"Black"
"253",3,"Black"
"254",4,"Blue"
"255",5,"Black"
"256",6,"Red"
"257",7,"Black"
"258",8,"Blue"
"259",9,"Blue"
"260",10,"Blue"
"261",1,"Red"
"262",2,"Black"
"263",3,"Black"
"264",4,"Red"
"265",5,"Blue"
"266",6,"Black"
"267",7,"Red"
"268",8,"Black"
"269",9,"Red"
"270",10,"Red"
"271",1,"Black"
"272",2,"Red"
"273",3,"Blue"
"274",4,"Black"
"275",5,"Red"
"276",6,"Black"
"277",7,"Black"
"278",8,"Blue"
"279",9,"Blue"
"280",10,"Black"
"281",1,"Blue"
"282",2,"Black"
"283",3,"Black"
"284",4,"Red"
"285",5,"Black"
"286",6,"Black"
"287",7,"Blue"
"288",8,"Black"
"289",9,"Black"
"290",10,"Black"
"291",1,"Red"
"292",2,"Red"
"293",3,"Black"
"294",4,"Black"
"295",5,"Black"
"296",6,"Black"
"297",7,"Red"
"298",8,"Blue"
"299",9,"Black"
"300",10,"Black"
"301",1,"Blue"
"302",2,"Blue"
"303",3,"Black"
"304",4,"Black"
"305",5,"Red"
"306",6,"Red"
"307",7,"Black"
"308",8,"Black"
"309",9,"Black"
"310",10,"Black"
"311",1,"Black"
"312",2,"Red"
"313",3,"Blue"
"314",4,"Black"
"315",5,"Black"
"316",6,"Red"
"317",7,"Black"
"318",8,"Blue"
"319",9,"Red"
"320",10,"Red"
"321",1,"Blue"
"322",2,"Black"
"323",3,"Black"
"324",4,"Black"
"325",5,"Blue"
"326",6,"Red"
"327",7,"Black"
"328",8,"Red"
"329",9,"Red"
"330",10,"Red"
"331",1,"Red"
"332",2,"Black"
"333",3,"Black"
"334",4,"Black"
"335",5,"Blue"
"336",6,"Blue"
"337",7,"Blue"
"338",8,"Black"
"339",9,"Red"
"340",10,"Black"
"341",1,"Blue"
"342",2,"Black"
"343",3,"Red"
"344",4,"Black"
"345",5,"Black"
"346",6,"Black"
"347",7,"Red"
"348",8,"Black"
"349",9,"Red"
"350",10,"Red"
"351",1,"Blue"
"352",2,"Blue"
"353",3,"Black"
"354",4,"Black"
"355",5,"Red"
"356",6,"Blue"
"357",7,"Blue"
"358",8,"Red"
"359",9,"Blue"
"360",10,"Blue"
"361",1,"Blue"
"362",2,"Blue"
"363",3,"Black"
"364",4,"Red"
"365",5,"Blue"
"366",6,"Blue"
"367",7,"Blue"
"368",8,"Red"
"369",9,"Black"
"370",10,"Black"
"371",1,"Black"
"372",2,"Black"
"373",3,"Red"
"374",4,"Black"
"375",5,"Red"
"376",6,"Red"
"377",7,"Black"
"378",8,"Black"
"379",9,"Black"
"380",10,"Red"
"381",1,"Blue"
"382",2,"Blue"
"383",3,"Black"
"384",4,"Black"
"385",5,"Blue"
"386",6,"Red"
"387",7,"Black"
"388",8,"Red"
"389",9,"Black"
"390",10,"Black"
"391",1,"Red"
"392",2,"Blue"
"393",3,"Blue"
"394",4,"Black"
"395",5,"Red"
"396",6,"Blue"
"397",7,"Red"
"398",8,"Red"
"399",9,"Blue"
"400",10,"Black"
"401",1,"Black"
"402",2,"Blue"
"403",3,"Blue"
"404",4,"Blue"
"405",5,"Red"
"406",6,"Black"
"407",7,"Red"
"408",8,"Black"
"409",9,"Black"
"410",10,"Black"
"411",1,"Black"
"412",2,"Blue"
"413",3,"Black"
"414",4,"Red"
"415",5,"Black"
"416",6,"Black"
"417",7,"Black"
"418",8,"Red"
"419",9,"Blue"
"420",10,"Black"
"421",1,"Black"
"422",2,"Blue"
"423",3,"Red"
"424",4,"Red"
"425",5,"Blue"
"426",6,"Black"
"427",7,"Blue"
"428",8,"Black"
"429",9,"Blue"
"430",10,"Blue"
"431",1,"Blue"
"432",2,"Blue"
"433",3,"Blue"
"434",4,"Black"
"435",5,"Red"
"436",6,"Black"
"437",7,"Blue"
"438",8,"Black"
"439",9,"Black"
"440",10,"Blue"
"441",1,"Blue"
"442",2,"Red"
"443",3,"Black"
"444",4,"Red"
"445",5,"Black"
"446",6,"Blue"
"447",7,"Black"
"448",8,"Red"
"449",9,"Blue"
"450",10,"Black"
"451",1,"Blue"
"452",2,"Black"
"453",3,"Blue"
"454",4,"Blue"
"455",5,"Blue"
"456",6,"Black"
"457",7,"Black"
"458",8,"Blue"
"459",9,"Red"
"460",10,"Red"
"461",1,"Black"
"462",2,"Black"
"463",3,"Red"
"464",4,"Black"
"465",5,"Black"
"466",6,"Blue"
"467",7,"Black"
"468",8,"Black"
"469",9,"Black"
"470",10,"Red"
"471",1,"Black"
"472",2,"Black"
"473",3,"Red"
"474",4,"Red"
"475",5,"Blue"
"476",6,"Blue"
"477",7,"Blue"
"478",8,"Red"
"479",9,"Black"
"480",10,"Red"
"481",1,"Black"
"482",2,"Blue"
"483",3,"Red"
"484",4,"Black"
"485",5,"Red"
"486",6,"Blue"
"487",7,"Red"
"488",8,"Black"
"489",9,"Black"
"490",10,"Black"
"491",1,"Red"
"492",2,"Blue"
"493",3,"Red"
"494",4,"Blue"
"495",5,"Blue"
"496",6,"Black"
"497",7,"Red"
"498",8,"Black"
"499",9,"Black"
"500",10,"Black"
"501",1,"Black"
"502",2,"Black"
"503",3,"Blue"
"504",4,"Red"
"505",5,"Black"
"506",6,"Red"
"507",7,"Blue"
"508",8,"Black"
"509",9,"Red"
"510",10,"Black"
"511",1,"Black"
"512",2,"Red"
"513",3,"Black"
"514",4,"Black"
"515",5,"Blue"
"516",6,"Black"
"517",7,"Black"
"518",8,"Black"
"519",9,"Black"
"520",10,"Blue"
"521",1,"Red"
"522",2,"Red"
"523",3,"Red"
"524",4,"Black"
"525",5,"Blue"
"526",6,"Blue"
"527",7,"Black"
"528",8,"Red"
"529",9,"Blue"
"530",10,"Black"
"531",1,"Red"
"532",2,"Black"
"533",3,"Red"
"534",4,"Blue"
"535",5,"Blue"
"536",6,"Black"
"537",7,"Black"
"538",8,"Blue"
"539",9,"Blue"
"540",10,"Black"
"541",1,"Red"
"542",2,"Red"
"543",3,"Blue"
"544",4,"Black"
"545",5,"Blue"
"546",6,"Red"
"547",7,"Blue"
"548",8,"Black"
"549",9,"Black"
"550",10,"Black"
"551",1,"Red"
"552",2,"Black"
"553",3,"Blue"
"554",4,"Black"
"555",5,"Black"
"556",6,"Black"
"557",7,"Red"
"558",8,"Black"
"559",9,"Red"
"560",10,"Red"
"561",1,"Red"
"562",2,"Black"
"563",3,"Black"
"564",4,"Black"
"565",5,"Black"
"566",6,"Black"
"567",7,"Red"
"568",8,"Black"
"569",9,"Blue"
"570",10,"Red"
"571",1,"Blue"
"572",2,"Black"
"573",3,"Red"
"574",4,"Black"
"575",5,"Black"
"576",6,"Blue"
"577",7,"Black"
"578",8,"Black"
"579",9,"Blue"
"580",10,"Blue"
"581",1,"Black"
"582",2,"Red"
"583",3,"Blue"
"584",4,"Blue"
"585",5,"Black"
"586",6,"Blue"
"587",7,"Red"
"588",8,"Red"
"589",9,"Blue"
"590",10,"Red"
"591",1,"Black"
"592",2,"Red"
"593",3,"Blue"
"594",4,"Red"
"595",5,"Red"
"596",6,"Blue"
"597",7,"Blue"
"598",8,"Black"
"599",9,"Black"
"600",10,"Blue"
"601",1,"Blue"
"602",2,"Black"
"603",3,"Red"
"604",4,"Black"
"605",5,"Blue"
"606",6,"Blue"
"607",7,"Red"
"608",8,"Black"
"609",9,"Blue"
"610",10,"Blue"
"611",1,"Blue"
"612",2,"Blue"
"613",3,"Blue"
"614",4,"Black"
"615",5,"Red"
"616",6,"Red"
"617",7,"Black"
"618",8,"Black"
"619",9,"Blue"
"620",10,"Black"
"621",1,"Blue"
"622",2,"Blue"
"623",3,"Black"
"624",4,"Red"
"625",5,"Black"
"626",6,"Blue"
"627",7,"Black"
"628",8,"Blue"
"629",9,"Red"
"630",10,"Blue"
"631",1,"Black"
"632",2,"Black"
"633",3,"Black"
"634",4,"Black"
"635",5,"Blue"
"636",6,"Red"
"637",7,"Black"
"638",8,"Blue"
"639",9,"Red"
"640",10,"Red"
"641",1,"Black"
"642",2,"Black"
"643",3,"Blue"
"644",4,"Red"
"645",5,"Blue"
"646",6,"Blue"
"647",7,"Blue"
"648",8,"Black"
"649",9,"Red"
"650",10,"Red"
"651",1,"Black"
"652",2,"Red"
"653",3,"Red"
"654",4,"Blue"
"655",5,"Blue"
"656",6,"Blue"
"657",7,"Black"
"658",8,"Black"
"659",9,"Blue"
"660",10,"Black"
"661",1,"Red"
"662",2,"Red"
"663",3,"Black"
"664",4,"Red"
"665",5,"Black"
"666",6,"Red"
"667",7,"Blue"
"668",8,"Blue"
"669",9,"Red"
"670",10,"Black"
"671",1,"Blue"
"672",2,"Red"
"673",3,"Black"
"674",4,"Black"
"675",5,"Black"
"676",6,"Black"
"677",7,"Black"
"678",8,"Black"
"679",9,"Black"
"680",10,"Black"
"681",1,"Blue"
"682",2,"Red"
"683",3,"Red"
"684",4,"Red"
"685",5,"Black"
"686",6,"Red"
"687",7,"Black"
"688",8,"Black"
"689",9,"Red"
"690",10,"Blue"
"691",1,"Blue"
"692",2,"Black"
"693",3,"Red"
"694",4,"Red"
"695",5,"Black"
"696",6,"Red"
"697",7,"Blue"
"698",8,"Red"
"699",9,"Red"
"700",10,"Blue"
"701",1,"Red"
"702",2,"Blue"
"703",3,"Black"
"704",4,"Red"
"705",5,"Red"
"706",6,"Red"
"707",7,"Black"
"708",8,"Black"
"709",9,"Black"
"710",10,"Blue"
"711",1,"Red"
"712",2,"Red"
"713",3,"Black"
"714",4,"Red"
"715",5,"Red"
"716",6,"Red"
"717",7,"Black"
"718",8,"Black"
"719",9,"Black"
"720",10,"Blue"
"721",1,"Black"
"722",2,"Blue"
"723",3,"Black"
"724",4,"Black"
"725",5,"Black"
"726",6,"Red"
"727",7,"Black"
"728",8,"Blue"
"729",9,"Blue"
"730",10,"Blue"
"731",1,"Blue"
"732",2,"Red"
"733",3,"Red"
"734",4,"Red"
"735",5,"Black"
"736",6,"Blue"
"737",7,"Black"
"738",8,"Blue"
"739",9,"Blue"
"740",10,"Red"
"741",1,"Red"
"742",2,"Blue"
"743",3,"Blue"
"744",4,"Red"
"745",5,"Red"
"746",6,"Blue"
"747",7,"Black"
"748",8,"Red"
"749",9,"Red"
"750",10,"Black"
"751",1,"Black"
"752",2,"Black"
"753",3,"Black"
"754",4,"Black"
"755",5,"Black"
"756",6,"Black"
"757",7,"Blue"
"758",8,"Black"
"759",9,"Red"
"760",10,"Red"
"761",1,"Red"
"762",2,"Red"
"763",3,"Black"
"764",4,"Black"
"765",5,"Blue"
"766",6,"Blue"
"767",7,"Red"
"768",8,"Blue"
"769",9,"Blue"
"770",10,"Blue"
"771",1,"Blue"
"772",2,"Black"
"773",3,"Black"
"774",4,"Black"
"775",5,"Red"
"776",6,"Black"
"777",7,"Red"
"778",8,"Red"
"779",9,"Red"
"780",10,"Red"
"781",1,"Blue"
"782",2,"Blue"
"783",3,"Black"
"784",4,"Black"
"785",5,"Blue"
"786",6,"Black"
"787",7,"Black"
"788",8,"Blue"
"789",9,"Black"
"790",10,"Black"
"791",1,"Red"
"792",2,"Black"
"793",3,"Blue"
"794",4,"Black"
"795",5,"Blue"
"796",6,"Black"
"797",7,"Black"
"798",8,"Black"
"799",9,"Red"
"800",10,"Black"
"801",1,"Red"
"802",2,"Red"
"803",3,"Black"
"804",4,"Blue"
"805",5,"Blue"
"806",6,"Black"
"807",7,"Blue"
"808",8,"Black"
"809",9,"Black"
"810",10,"Blue"
"811",1,"Black"
"812",2,"Red"
"813",3,"Blue"
"814",4,"Blue"
"815",5,"Red"
"816",6,"Blue"
"817",7,"Red"
"818",8,"Black"
"819",9,"Black"
"820",10,"Blue"
"821",1,"Black"
"822",2,"Blue"
"823",3,"Black"
"824",4,"Black"
"825",5,"Black"
"826",6,"Red"
"827",7,"Black"
"828",8,"Black"
"829",9,"Black"
"830",10,"Black"
"831",1,"Black"
"832",2,"Blue"
"833",3,"Black"
"834",4,"Black"
"835",5,"Blue"
"836",6,"Blue"
"837",7,"Black"
"838",8,"Blue"
"839",9,"Red"
"840",10,"Black"
"841",1,"Red"
"842",2,"Red"
"843",3,"Black"
"844",4,"Blue"
"845",5,"Blue"
"846",6,"Black"
"847",7,"Black"
"848",8,"Black"
"849",9,"Red"
"850",10,"Black"
"851",1,"Blue"
"852",2,"Red"
"853",3,"Black"
"854",4,"Blue"
"855",5,"Blue"
"856",6,"Black"
"857",7,"Blue"
"858",8,"Red"
"859",9,"Blue"
"860",10,"Red"
"861",1,"Red"
"862",2,"Blue"
"863",3,"Black"
"864",4,"Black"
"865",5,"Black"
"866",6,"Red"
"867",7,"Black"
"868",8,"Black"
"869",9,"Blue"
"870",10,"Black"
"871",1,"Red"
"872",2,"Red"
"873",3,"Black"
"874",4,"Red"
"875",5,"Blue"
"876",6,"Blue"
"877",7,"Black"
"878",8,"Blue"
"879",9,"Red"
"880",10,"Blue"
"881",1,"Red"
"882",2,"Red"
"883",3,"Blue"
"884",4,"Red"
"885",5,"Red"
"886",6,"Black"
"887",7,"Black"
"888",8,"Black"
"889",9,"Red"
"890",10,"Red"
"891",1,"Black"
"892",2,"Blue"
"893",3,"Blue"
"894",4,"Black"
"895",5,"Black"
"896",6,"Red"
"897",7,"Black"
"898",8,"Black"
"899",9,"Red"
"900",10,"Blue"
"901",1,"Black"
"902",2,"Black"
"903",3,"Blue"
"904",4,"Black"
"905",5,"Blue"
"906",6,"Red"
"907",7,"Black"
"908",8,"Black"
"909",9,"Blue"
"910",10,"Black"
"911",1,"Black"
"912",2,"Black"
"913",3,"Red"
"914",4,"Red"
"915",5,"Red"
"916",6,"Red"
"917",7,"Red"
"918",8,"Blue"
"919",9,"Black"
"920",10,"Black"
"921",1,"Red"
"922",2,"Red"
"923",3,"Red"
"924",4,"Black"
"925",5,"Blue"
"926",6,"Red"
"927",7,"Black"
"928",8,"Black"
"929",9,"Black"
"930",10,"Blue"
"931",1,"Blue"
"932",2,"Red"
"933",3,"Red"
"934",4,"Red"
"935",5,"Red"
"936",6,"Black"
"937",7,"Black"
"938",8,"Black"
"939",9,"Black"
"940",10,"Red"
"941",1,"Blue"
"942",2,"Blue"
"943",3,"Black"
"944",4,"Black"
"945",5,"Red"
"946",6,"Black"
"947",7,"Black"
"948",8,"Red"
"949",9,"Blue"
"950",10,"Black"
"951",1,"Black"
"952",2,"Blue"
"953",3,"Black"
"954",4,"Red"
"955",5,"Black"
"956",6,"Blue"
"957",7,"Blue"
"958",8,"Red"
"959",9,"Blue"
"960",10,"Blue"
"961",1,"Blue"
"962",2,"Blue"
"963",3,"Black"
"964",4,"Red"
"965",5,"Black"
"966",6,"Red"
"967",7,"Black"
"968",8,"Black"
"969",9,"Red"
"970",10,"Black"
"971",1,"Blue"
"972",2,"Blue"
"973",3,"Blue"
"974",4,"Blue"
"975",5,"Black"
"976",6,"Black"
"977",7,"Black"
"978",8,"Black"
"979",9,"Red"
"980",10,"Black"
"981",1,"Blue"
"982",2,"Black"
"983",3,"Blue"
"984",4,"Red"
"985",5,"Blue"
"986",6,"Black"
"987",7,"Red"
"988",8,"Black"
"989",9,"Black"
"990",10,"Red"
"991",1,"Red"
"992",2,"Black"
"993",3,"Red"
"994",4,"Red"
"995",5,"Black"
"996",6,"Black"
"997",7,"Blue"
"998",8,"Black"
"999",9,"Blue"
"1000",10,"Black"
"1001",1,"Red"
"1002",2,"Black"
"1003",3,"Red"
"1004",4,"Blue"
"1005",5,"Blue"
"1006",6,"Black"
"1007",7,"Blue"
"1008",8,"Red"
"1009",9,"Black"
"1010",10,"Red"
"1011",1,"Blue"
"1012",2,"Blue"
"1013",3,"Black"
"1014",4,"Black"
"1015",5,"Black"
"1016",6,"Red"
"1017",7,"Black"
"1018",8,"Black"
"1019",9,"Red"
"1020",10,"Black"
"1021",1,"Red"
"1022",2,"Black"
"1023",3,"Black"
"1024",4,"Black"
"1025",5,"Black"
"1026",6,"Black"
"1027",7,"Blue"
"1028",8,"Black"
"1029",9,"Red"
"1030",10,"Red"
"1031",1,"Red"
"1032",2,"Black"
"1033",3,"Black"
"1034",4,"Black"
"1035",5,"Black"
"1036",6,"Blue"
"1037",7,"Red"
"1038",8,"Blue"
"1039",9,"Blue"
"1040",10,"Black"
"1041",1,"Red"
"1042",2,"Black"
"1043",3,"Black"
"1044",4,"Blue"
"1045",5,"Red"
"1046",6,"Black"
"1047",7,"Blue"
"1048",8,"Red"
"1049",9,"Red"
"1050",10,"Black"
"1051",1,"Red"
"1052",2,"Black"
"1053",3,"Black"
"1054",4,"Blue"
"1055",5,"Black"
"1056",6,"Red"
"1057",7,"Blue"
"1058",8,"Blue"
"1059",9,"Black"
"1060",10,"Black"
"1061",1,"Black"
"1062",2,"Red"
"1063",3,"Black"
"1064",4,"Black"
"1065",5,"Black"
"1066",6,"Blue"
"1067",7,"Red"
"1068",8,"Black"
"1069",9,"Black"
"1070",10,"Blue"
"1071",1,"Blue"
"1072",2,"Black"
"1073",3,"Blue"
"1074",4,"Red"
"1075",5,"Black"
"1076",6,"Blue"
"1077",7,"Red"
"1078",8,"Black"
"1079",9,"Black"
"1080",10,"Black"
"1081",1,"Blue"
"1082",2,"Red"
"1083",3,"Black"
"1084",4,"Red"
"1085",5,"Red"
"1086",6,"Black"
"1087",7,"Red"
"1088",8,"Blue"
"1089",9,"Blue"
"1090",10,"Black"
"1091",1,"Red"
"1092",2,"Black"
"1093",3,"Red"
"1094",4,"Blue"
"1095",5,"Black"
"1096",6,"Blue"
"1097",7,"Blue"
"1098",8,"Black"
"1099",9,"Red"
"1100",10,"Blue"
"1101",1,"Black"
"1102",2,"Blue"
"1103",3,"Blue"
"1104",4,"Black"
"1105",5,"Blue"
"1106",6,"Blue"
"1107",7,"Red"
"1108",8,"Black"
"1109",9,"Red"
"1110",10,"Red"
"1111",1,"Blue"
"1112",2,"Black"
"1113",3,"Red"
"1114",4,"Red"
"1115",5,"Black"
"1116",6,"Black"
"1117",7,"Red"
"1118",8,"Red"
"1119",9,"Black"
"1120",10,"Red"
"1121",1,"Red"
"1122",2,"Red"
"1123",3,"Blue"
"1124",4,"Black"
"1125",5,"Red"
"1126",6,"Red"
"1127",7,"Blue"
"1128",8,"Red"
"1129",9,"Black"
"1130",10,"Blue"
"1131",1,"Black"
"1132",2,"Red"
"1133",3,"Red"
"1134",4,"Black"
"1135",5,"Blue"
"1136",6,"Blue"
"1137",7,"Black"
"1138",8,"Black"
"1139",9,"Black"
"1140",10,"Blue"
"1141",1,"Black"
"1142",2,"Red"
"1143",3,"Blue"
"1144",4,"Red"
"1145",5,"Black"
"1146",6,"Black"
"1147",7,"Black"
"1148",8,"Black"
"1149",9,"Blue"
"1150",10,"Black"
"1151",1,"Red"
"1152",2,"Black"
"1153",3,"Red"
"1154",4,"Red"
"1155",5,"Blue"
"1156",6,"Red"
"1157",7,"Blue"
"1158",8,"Blue"
"1159",9,"Red"
"1160",10,"Black"
"1161",1,"Blue"
"1162",2,"Blue"
"1163",3,"Black"
"1164",4,"Blue"
"1165",5,"Black"
"1166",6,"Black"
"1167",7,"Black"
"1168",8,"Black"
"1169",9,"Blue"
"1170",10,"Blue"
"1171",1,"Black"
"1172",2,"Blue"
"1173",3,"Red"
"1174",4,"Red"
"1175",5,"Black"
"1176",6,"Black"
"1177",7,"Blue"
"1178",8,"Red"
"1179",9,"Blue"
"1180",10,"Red"
"1181",1,"Blue"
"1182",2,"Black"
"1183",3,"Blue"
"1184",4,"Black"
"1185",5,"Red"
"1186",6,"Red"
"1187",7,"Blue"
"1188",8,"Blue"
"1189",9,"Blue"
"1190",10,"Red"
"1191",1,"Blue"
"1192",2,"Blue"
"1193",3,"Black"
"1194",4,"Black"
"1195",5,"Red"
"1196",6,"Blue"
"1197",7,"Black"
"1198",8,"Black"
"1199",9,"Red"
"1200",10,"Blue"
"1201",1,"Blue"
"1202",2,"Blue"
"1203",3,"Blue"
"1204",4,"Black"
"1205",5,"Red"
"1206",6,"Red"
"1207",7,"Red"
"1208",8,"Blue"
"1209",9,"Black"
"1210",10,"Blue"
"1211",1,"Red"
"1212",2,"Red"
"1213",3,"Black"
"1214",4,"Black"
"1215",5,"Red"
"1216",6,"Blue"
"1217",7,"Black"
"1218",8,"Blue"
"1219",9,"Black"
"1220",10,"Red"
"1221",1,"Black"
"1222",2,"Blue"
"1223",3,"Blue"
"1224",4,"Black"
"1225",5,"Red"
"1226",6,"Red"
"1227",7,"Blue"
"1228",8,"Black"
"1229",9,"Red"
"1230",10,"Blue"
"1231",1,"Red"
"1232",2,"Black"
"1233",3,"Black"
"1234",4,"Red"
"1235",5,"Red"
"1236",6,"Blue"
"1237",7,"Blue"
"1238",8,"Blue"
"1239",9,"Blue"
"1240",10,"Black"
"1241",1,"Red"
"1242",2,"Blue"
"1243",3,"Red"
"1244",4,"Red"
"1245",5,"Black"
"1246",6,"Red"
"1247",7,"Blue"
"1248",8,"Red"
"1249",9,"Black"
"1250",10,"Red"
"1251",1,"Red"
"1252",2,"Red"
"1253",3,"Black"
"1254",4,"Black"
"1255",5,"Blue"
"1256",6,"Black"
"1257",7,"Blue"
"1258",8,"Black"
"1259",9,"Black"
"1260",10,"Red"
"1261",1,"Blue"
"1262",2,"Red"
"1263",3,"Red"
"1264",4,"Black"
"1265",5,"Blue"
"1266",6,"Blue"
"1267",7,"Red"
"1268",8,"Blue"
"1269",9,"Red"
"1270",10,"Black"
"1271",1,"Black"
"1272",2,"Red"
"1273",3,"Black"
"1274",4,"Blue"
"1275",5,"Blue"
"1276",6,"Blue"
"1277",7,"Black"
"1278",8,"Red"
"1279",9,"Black"
"1280",10,"Black"
"1281",1,"Red"
"1282",2,"Black"
"1283",3,"Black"
"1284",4,"Black"
"1285",5,"Black"
"1286",6,"Blue"
"1287",7,"Red"
"1288",8,"Blue"
"1289",9,"Black"
"1290",10,"Blue"
"1291",1,"Black"
"1292",2,"Black"
"1293",3,"Black"
"1294",4,"Red"
"1295",5,"Red"
"1296",6,"Black"
"1297",7,"Blue"
"1298",8,"Black"
"1299",9,"Blue"
"1300",10,"Black"
"1301",1,"Red"
"1302",2,"Red"
"1303",3,"Blue"
"1304",4,"Black"
"1305",5,"Black"
"1306",6,"Red"
"1307",7,"Red"
"1308",8,"Red"
"1309",9,"Red"
"1310",10,"Blue"
"1311",1,"Black"
"1312",2,"Red"
"1313",3,"Black"
"1314",4,"Black"
"1315",5,"Black"
"1316",6,"Black"
"1317",7,"Black"
"1318",8,"Blue"
"1319",9,"Red"
"1320",10,"Blue"
"1321",1,"Black"
"1322",2,"Blue"
"1323",3,"Red"
"1324",4,"Red"
"1325",5,"Blue"
"1326",6,"Red"
"1327",7,"Red"
