country,treatment,categorynum,motive_selfimage,motive_harm,motive_detection,motive_reputation,contact_prob_own,reward,reward_prob,reward_USD,exp_reward_USD,socialdesirability,empathy_score,protectedvalues,owner_income,contact_prob_other,lost_wallet,lost_phone,lost_keys,found_wallet,found_phone,found_keys,appro_cheattaxes,appro_keepwallet,appro_claimbenefits,appro_parkdamage,nomoney,midmoney,nokey,highmoney,countryFE,money_in_wallet,money_in_wallet_int,RESTRICTED_SAMPLE
"USA",4,4,0,8,0,0,100,10,0,10,0,3.1666667,2.4285715,4.5,1,100,1,0,1,1,0,0,-1,-2,-2,-2,0,0,0,1,3,95,0,0
"USA",1,2,8,5,2,4,90,0,.2,0,0,2.1666667,1.7142857,4.25,0,60.000004,1,0,0,0,0,0,-1,-2,-2,-2,0,1,0,0,3,13.41,1,1
"USA",2,5,0,8,0,0,50,1,0,1,0,1.6666666,2,3.75,1,50,0,0,1,0,0,0,-2,-2,-2,-2,0,0,1,0,3,13.48,1,1
"USA",3,2,4,3,0,0,100,20,.2,20,4,2.6666667,2.1428571,3,2,70,0,1,0,0,1,0,-1,-2,-2,-1,1,0,0,0,3,0,1,1
"USA",2,1,0,10,6,10,100,1,.40000001,1,.40000001,3.6666667,2.2857144,4.5,2,90,1,0,1,0,0,0,-2,-2,-2,-2,0,0,1,0,3,13,1,1
"USA",4,5,7,5,4,7,30.000002,100,.30000001,100,30.000002,2.3333333,2.2857144,3,1,40,1,1,0,0,1,1,-1,1,2,2,0,0,0,1,3,94,1,1
"USA",1,1,8,8,9,9,70,2.3,.69999999,2.3,1.6099999,2.3333333,2.4285715,2.75,2,90,1,1,1,1,1,1,1,1,1,2,0,1,0,0,3,234,0,0
"USA",1,1,8,7,8,8,20,5,.2,5,1,2.5,2,3,2,20,1,0,0,1,0,0,1,1,2,1,0,1,0,0,3,13.75,1,1
"USA",2,1,10,2,7,5,100,5,0,5,0,1.3333334,2,4.25,-1,90,0,0,1,0,0,0,-1,-2,-1,-2,0,0,1,0,3,13.45,1,1
"USA",3,2,10,10,9,9,60.000004,1,.5,1,.5,2.6666667,2.5714285,3,3,50,1,1,1,1,1,1,2,2,2,2,1,0,0,0,3,4000,0,0
"USA",2,1,9,9,7,7,50,55,.5,55,27.5,2.3333333,2.4285715,3,1,50,0,0,0,1,0,0,-1,2,1,1,0,0,1,0,3,1000,0,0
"USA",4,4,10,8,5,5,80,10,.5,10,5,2.1666667,2,3.5,2,90,1,0,0,1,0,1,1,-2,-2,-1,0,0,0,1,3,94.84999999999999,1,1
"USA",2,1,8,4,2,8,100,5,.2,5,1,2.1666667,2,5,1,70,1,0,1,0,0,0,-2,-2,-2,-2,0,0,1,0,3,13.45,1,1
"USA",2,2,0,1,0,0,100,1,0,1,0,2.8333333,1.7142857,5.25,3,70,0,0,0,1,0,1,-2,-2,-2,-2,0,0,1,0,3,13.46,1,1
"USA",1,1,2,9,4,0,80,5,0,5,0,.66666669,1.8571428,2,3,80,1,0,1,1,0,1,-2,-2,-2,-2,0,1,0,0,3,13.45,1,1
"USA",1,2,10,8,0,9,100,17.5,.1,17.5,1.75,.83333331,2.2857144,5.25,2,90,1,1,1,1,0,0,-2,-2,-2,-2,0,1,0,0,3,13.45,1,1
"USA",2,1,9,6,8,5,90,3,.1,3,.30000001,2.6666667,2.1428571,3.5,1,60.000004,0,0,0,0,0,0,-2,-2,-2,-2,0,0,1,0,3,13.68,1,1
"USA",1,3,9,9,9,8,90,5,.1,5,.5,1.8333334,2.1428571,3,1,50,0,0,0,0,0,0,-2,-2,-2,-2,0,1,0,0,3,13.45,1,1
"USA",2,3,4,5,3,5,50,5,.1,5,.5,2.1666667,2,2.75,0,50,0,0,1,0,0,0,-1,-1,1,-1,0,0,1,0,3,13.45,1,1
"USA",1,4,10,9,10,9,90,20,.5,20,10,2.6666667,2.1428571,4.5,1,0,1,1,1,1,0,0,-2,1,-1,-1,0,1,0,0,3,13.45,1,1
"USA",1,3,10,10,0,10,100,10,0,10,0,2.6666667,2,3.5,-1,50,0,0,1,0,0,0,-2,-2,-2,-2,0,1,0,0,3,13.45,1,1
"USA",3,1,10,8,4,10,100,5,0,5,0,2.5,2.1428571,4,1,80,0,0,0,0,0,0,-2,-2,-2,-2,1,0,0,0,3,0,1,1
"USA",2,5,10,10,10,10,100,1,0,1,0,4.6666665,2.8571429,4.5,0,0,1,0,1,0,0,0,-2,-2,-2,-2,0,0,1,0,3,13.5,1,1
"USA",3,3,10,8,5,5,100,50,.5,50,25,3.5,2,6,1,80,1,0,1,1,0,1,1,-2,-1,1,1,0,0,0,3,0,1,1
"USA",1,4,10,1,0,10,100,3,.5,3,1.5,3.1666667,1.8571428,4.25,0,80,1,0,0,0,0,0,2,-2,-2,-1,0,1,0,0,3,13.45,1,1
"USA",4,5,10,10,3,10,100,5,0,5,0,3,2.2857144,5.25,0,50,0,0,0,1,0,1,-1,-2,-1,-1,0,0,0,1,3,94.09999999999999,1,1
"USA",2,5,6,7,7,8,80,402.20001,.80000001,402.20001,321.76001,1.6666666,2.2857144,3.25,2,80,1,1,1,1,1,1,1,1,2,1,0,0,1,0,3,120,0,0
"USA",3,1,8,7,8,8,70,402.20001,.80000001,402.20001,321.76001,1.6666666,2.1428571,3,2,80,1,1,1,1,1,1,1,1,2,1,1,0,0,0,3,402.2,0,0
"USA",3,3,9,8,8,8,70,0,.69999999,0,0,3,1.8571428,2.75,3,80,1,1,1,1,1,1,-2,-2,-2,-2,1,0,0,0,3,0,1,1
"USA",4,4,10,8,10,10,90,21,.30000001,21,6.3000002,3.5,1.7142857,2.5,0,50,0,1,1,0,1,1,-2,1,2,2,0,0,0,1,3,94,1,1
"USA",4,1,10,10,10,10,100,10,.5,10,5,3.8333333,2,.25,1,40,1,1,1,0,0,0,-2,-2,2,-2,0,0,0,1,3,94,1,1
"USA",1,3,8,2,8,4,100,0,.2,0,0,3.5,2,3.25,0,60.000004,1,1,1,1,1,1,-2,-2,-1,-2,0,1,0,0,3,13,1,1
"USA",1,5,7,7,6,5,60.000004,10,.1,10,1,2.6666667,2.8571429,3.25,3,80,1,0,1,1,0,1,1,2,1,1,0,1,0,0,3,200,0,0
"USA",1,4,10,10,10,10,50,5,.5,5,2.5,2.6666667,2.8571429,3,3,50,1,1,1,1,1,1,2,2,2,1,0,1,0,0,3,13.45,1,1
"USA",1,1,5,5,6,4,60.000004,5,.1,5,.5,1.1666666,1.7142857,3.5,0,20,0,0,1,0,1,0,-2,-2,-2,-2,0,1,0,0,3,13,1,1
"USA",4,2,9,10,4,8,90,10,.2,10,2,2.1666667,2,4,1,80,0,0,0,0,0,0,-1,-2,-2,-2,0,0,0,1,3,94,1,1
"USA",3,1,9,4,6,10,100,1,0,1,0,1.3333334,1.8571428,5.25,2,100,0,0,1,0,1,0,-2,-2,-2,-1,1,0,0,0,3,0,1,1
"USA",4,1,9,9,5,6,100,9,.5,9,4.5,2.6666667,2,5,0,70,0,0,0,0,0,0,-2,-2,-2,-2,0,0,0,1,3,97.45,0,0
"USA",2,5,10,10,10,10,100,10,.5,10,5,2.8333333,1.7142857,3,0,50,1,0,1,1,0,1,-2,-2,-2,-2,0,0,1,0,3,13.84,1,1
"USA",1,3,10,5,6,5,100,1,.1,1,.1,3.1666667,1.8571428,6,0,50,0,0,1,1,0,0,-2,-2,-2,-2,0,1,0,0,3,13,1,1
"USA",3,2,10,10,5,5,100,25,0,25,0,4,2,3.25,3,100,0,0,0,0,0,0,-2,-2,-2,-2,1,0,0,0,3,0,1,1
"USA",4,2,10,10,10,10,100,10,0,10,0,2.6666667,2.1428571,4.5,1,60.000004,1,0,1,1,0,0,-1,-2,-2,-1,0,0,0,1,3,93.67,0,0
"USA",1,5,2,7,9,9,100,20,.1,20,2,2.6666667,2,2.25,3,80,0,1,0,0,0,0,-2,-2,-1,-2,0,1,0,0,3,12.5,0,0
"USA",1,5,10,10,1,10,90,1,.2,1,.2,2.6666667,2.2857144,4.5,0,50,0,0,1,1,0,0,-1,-1,1,-1,0,1,0,0,3,13.25,1,1
"USA",2,5,7,3,3,8,100,5,.5,5,2.5,1.8333334,2,4,1,70,1,0,1,1,0,0,-1,-2,-2,-2,0,0,1,0,3,13.85,1,1
"USA",1,5,0,7,8,9,100,1,0,1,0,3.1666667,2.1428571,5.75,1,10,0,0,1,0,0,1,1,-1,1,1,0,1,0,0,3,13.45,1,1
"USA",3,5,0,4,0,0,100,0,0,0,0,3,1.8571428,2.25,2,50,0,0,0,1,1,0,2,2,-2,2,1,0,0,0,3,0,1,1
"USA",3,3,10,7,4,0,100,5,.1,5,.5,4,2.4285715,6,0,50,1,0,0,1,1,1,1,-1,1,1,1,0,0,0,3,0,1,1
"USA",3,4,0,8,9,7,90,20,.69999999,20,14,3,1.5714285,4,2,90,0,0,1,1,0,0,-2,-2,-2,-2,1,0,0,0,3,0,1,1
"USA",1,1,10,10,7,7,100,5,.1,5,.5,3.3333333,1.4285715,3,0,100,0,0,1,0,0,0,1,1,1,1,0,1,0,0,3,13.75,1,1
"USA",1,1,8,8,9,9,80,49.5,.80000001,49.5,39.600002,2.3333333,2.7142856,2.25,2,90,1,0,1,1,0,1,1,1,2,1,0,1,0,0,3,45,0,0
"USA",3,1,5,10,9,7,100,100.5,.80000001,100.5,80.400002,2.8333333,2.7142856,3,3,100,1,1,1,1,1,0,1,1,2,2,1,0,0,0,3,0,1,1
"USA",3,4,7,10,6,5,80,10,.40000001,10,4,2.3333333,1.7142857,3.75,2,50,0,0,1,0,0,0,-1,-2,-2,-1,1,0,0,0,3,0,1,1
"USA",3,5,5,9,0,9,100,10,.1,10,1,2.8333333,2.4285715,4.5,1,0,1,0,1,0,0,0,2,-1,-2,1,1,0,0,0,3,0,1,1
"USA",1,1,10,10,7,10,80,5,0,5,0,2.8333333,2,3.5,2,40,0,0,1,1,0,1,1,-1,-1,1,0,1,0,0,3,13.45,1,1
"USA",2,3,10,2,4,9,100,2,0,2,0,3,1.8571428,6,-2,70,0,0,0,0,0,0,-2,-2,-2,-2,0,0,1,0,3,13.45,1,1
"USA",2,5,2,8,8,8,100,2,.1,2,.2,1.6666666,2.2857144,5.25,2,80,1,1,1,0,1,0,-2,-2,-2,-2,0,0,1,0,3,13.65,1,1
"USA",2,2,10,6,0,0,100,1,0,1,0,2.1666667,1.7142857,4.5,2,50,0,0,0,0,0,0,-2,-2,-2,-2,0,0,1,0,3,13.45,1,1
"USA",3,4,10,10,8,10,100,5,.1,5,.5,2.1666667,2,3,0,90,0,0,1,1,0,0,-2,-2,-2,-2,1,0,0,0,3,0,1,1
"USA",1,1,9,7,9,8,100,10,.30000001,10,3,3,2.4285715,4.25,2,70,1,0,1,1,0,0,-2,-2,-2,-2,0,1,0,0,3,13.45,1,1
"USA",4,4,0,9,10,10,100,0,0,0,0,2.6666667,2.4285715,2.25,1,80,1,1,1,1,1,1,-2,-2,-2,-2,0,0,0,1,3,94,1,1
"USA",4,2,10,10,9,10,80,50,.5,50,25,2.1666667,1.8571428,4.5,1,40,0,0,0,0,0,0,-2,-2,-2,-2,0,0,0,1,3,94,1,1
"USA",2,1,10,5,0,10,100,5,.1,5,.5,2.5,2.1428571,3.75,3,50,1,1,1,1,0,1,-2,-2,-2,-2,0,0,1,0,3,13.46,1,1
"USA",4,1,10,10,10,9,100,20,.2,20,4,2.8333333,2.8571429,3.25,0,60.000004,0,1,1,1,0,0,-2,-2,-2,-2,0,0,0,1,3,94,1,1
"USA",3,5,5,5,1,1,90,10,0,10,0,2.3333333,1.8571428,2.5,-1,90,0,0,0,0,0,1,-1,-2,-2,-1,1,0,0,0,3,0,1,1
"USA",3,5,10,9,1,10,80,10,0,10,0,2,2.2857144,3.5,1,50,1,0,1,0,0,0,-2,-2,-2,-1,1,0,0,0,3,0,1,1
"USA",3,2,10,8,8,7,100,10,.5,10,5,3,2,3.75,0,60.000004,0,0,0,0,0,0,-2,-1,-2,-2,1,0,0,0,3,0,1,1
"USA",4,1,10,10,4,10,100,10,.2,10,2,2,2,3,2,80,0,0,0,0,0,0,-1,-2,-2,-1,0,0,0,1,3,94.67,1,1
"USA",3,1,6,4,4,6,90,5,.1,5,.5,1.8333334,1.8571428,1.75,2,70,0,0,1,0,0,0,-1,-2,-1,-2,1,0,0,0,3,0,1,1
"USA",2,3,10,3,1,9,100,0,0,0,0,3,2,4.75,2,50,0,0,0,1,1,0,-1,-2,-2,-2,0,0,1,0,3,13,1,1
"USA",2,2,3,3,2,4,30.000002,0,.1,0,0,2,2.5714285,2.75,1,10,0,0,1,0,0,0,-1,-1,-2,-1,0,0,1,0,3,13.47,1,1
"USA",2,5,9,8,10,8,100,25,.5,25,12.5,2.8333333,2.2857144,1.25,1,90,0,1,0,0,0,1,-2,-2,1,-2,0,0,1,0,3,13,1,1
"USA",4,1,10,10,9,9,80,69.900002,.69999999,69.900002,48.93,2.6666667,2.8571429,3.25,3,90,1,1,1,1,1,1,2,2,1,2,0,0,0,1,3,90,0,0
"USA",2,5,9,9,10,8,100,20,.69999999,20,14,3.1666667,2.5714285,2.75,2,90,1,0,1,0,0,1,-2,2,1,-1,0,0,1,0,3,50,0,0
"USA",2,1,10,5,0,10,100,10,.2,10,2,2.3333333,2.2857144,4.25,1,80,0,0,1,0,0,0,-2,-2,-2,-2,0,0,1,0,3,13,1,1
"USA",4,4,10,10,10,10,100,10,0,10,0,4.1666665,2.2857144,4.5,2,100,1,0,0,0,0,0,-2,-2,-1,-2,0,0,0,1,3,62.51,0,0
"USA",2,5,10,10,10,10,100,0,.5,0,0,3.8333333,2.4285715,5.5,0,90,1,0,1,0,0,0,1,-1,2,2,0,0,1,0,3,13.43,1,1
"USA",4,3,10,10,10,10,100,10,.30000001,10,3,4.3333335,2.2857144,4.5,2,90,0,0,0,0,1,0,-2,-2,-2,-2,0,0,0,1,3,98,0,0
"USA",4,1,10,10,5,10,100,20,.2,20,4,2,2,3.75,0,80,1,0,0,0,0,0,-1,-2,-1,-1,0,0,0,1,3,94.36,1,1
"USA",1,4,10,10,5,5,100,20,.5,20,10,4.1666665,2.2857144,5.75,2,90,0,0,1,1,0,1,-2,-2,-2,-2,0,1,0,0,3,13,1,1
"USA",1,5,7,7,6,5,70,2,.1,2,.2,2.6666667,1.5714285,5,1,50,0,0,0,0,0,0,-2,-2,-2,-2,0,1,0,0,3,12.39,0,0
"USA",4,3,10,10,10,10,100,20,.2,20,4,3.5,1.8571428,4.5,1,70,0,0,1,0,0,0,-2,-2,-2,-2,0,0,0,1,3,94,1,1
"USA",3,1,10,4,0,7,100,0,.1,0,0,2.1666667,2.2857144,4.75,2,70,0,1,1,1,0,0,1,-2,-1,1,1,0,0,0,3,0,1,1
"USA",1,1,10,8,3,4,100,3,.1,3,.30000001,1.1666666,1.8571428,2.75,1,80,0,1,0,1,1,0,-2,-2,-1,-1,0,1,0,0,3,13.47,1,1
"USA",1,3,2,5,1,1,30.000002,2,.30000001,2,.60000002,1.8333334,1.4285715,3,0,30.000002,1,0,1,1,1,0,-2,-1,-2,2,0,1,0,0,3,13.3,1,1
"USA",2,2,5,2,2,5,60.000004,2,.2,2,.40000001,1.6666666,2.2857144,3,-1,60.000004,1,0,0,0,0,0,-1,-2,-2,-1,0,0,1,0,3,13.46,1,1
"USA",1,3,10,10,0,0,100,10,.1,10,1,2.5,2.4285715,2.75,0,90,1,1,1,1,1,1,-2,-2,-2,-2,0,1,0,0,3,13.06,1,1
"USA",1,1,10,10,7,6,100,10,0,10,0,1.8333334,2,4.75,1,70,0,0,1,0,1,1,-1,-2,-1,-1,0,1,0,0,3,13.45,1,1
"USA",3,1,0,7,0,0,100,5,0,5,0,3.5,1.4285715,6,0,90,1,1,1,0,0,0,-2,-2,-2,-2,1,0,0,0,3,0,1,1
"USA",4,5,10,10,8,5,100,10,.1,10,1,2.1666667,2,5,2,50,0,0,0,0,0,0,1,-2,1,1,0,0,0,1,3,94.95,1,1
"USA",4,3,10,10,10,10,100,0,0,0,0,4.3333335,2.2857144,5.25,-1,90,0,0,0,1,1,0,-2,-2,-2,-2,0,0,0,1,3,0,0,0
"USA",1,3,10,10,0,10,100,5,0,5,0,1.1666666,2.1428571,4.25,2,90,0,0,1,0,0,0,-1,-2,-1,-2,0,1,0,0,3,13.4,1,1
"USA",4,5,10,9,3,8,100,5,.5,5,2.5,2,1.8571428,4,1,90,1,0,1,0,0,0,-2,-2,-2,-2,0,0,0,1,3,93.45,0,0
"USA",1,5,0,0,4,5,100,0,0,0,0,1.3333334,2.1428571,3,2,50,0,0,1,1,1,0,-2,-2,-1,-2,0,1,0,0,3,15.35,0,0
"USA",2,5,7,5,1,3,60.000004,5,.2,5,1,2.5,2,3.5,-2,40,1,0,1,0,1,0,-2,-2,-2,-1,0,0,1,0,3,13.45,1,1
"USA",3,2,6,8,2,6,100,5,0,5,0,2.3333333,1.8571428,3,1,80,0,0,0,0,0,0,-2,1,-2,-2,1,0,0,0,3,0,1,1
"USA",4,1,10,3,7,9,100,5,.1,5,.5,2.3333333,2.4285715,5,0,70,0,0,0,0,0,0,-1,-2,-1,-1,0,0,0,1,3,94,1,1
"USA",1,4,10,10,5,10,100,10,0,10,0,4.5,2.1428571,3.25,3,100,0,0,0,0,0,0,-2,-2,-2,-2,0,1,0,0,3,13,1,1
"USA",1,2,10,10,10,9,100,1,.1,1,.1,2.3333333,2.1428571,3.25,-1,40,1,0,1,1,1,1,-2,-2,-2,-2,0,1,0,0,3,13.41,1,1
"USA",1,3,1,7,1,4,100,3,.30000001,3,.90000004,1.8333334,1.5714285,3.25,2,80,0,0,0,0,0,0,-1,-2,-2,-1,0,1,0,0,3,13.45,1,1
"USA",3,3,3,5,10,5,40,56,.2,56,11.2,1.8333334,2.7142856,3,0,50,1,1,1,1,1,1,-2,-2,-1,1,1,0,0,0,3,500,0,0
"USA",4,1,10,10,3,3,100,10,.1,10,1,3.3333333,2,5.25,1,70,1,0,0,0,0,0,1,-1,1,-1,0,0,0,1,3,94.95,1,1
"USA",4,1,9,8,2,8,90,5,.30000001,5,1.5,3,2.2857144,3.75,2,80,0,0,0,0,0,0,-2,-2,-2,-2,0,0,0,1,3,94.95,1,1
"USA",4,1,10,10,5,8,100,5,0,5,0,2.1666667,2.1428571,5.25,2,50,1,0,1,0,0,0,-1,-2,-2,-1,0,0,0,1,3,94.45,1,1
"USA",3,1,5,8,5,4,80,10,.1,10,1,4,2,4.5,1,80,1,0,0,1,1,1,-2,2,-2,-2,1,0,0,0,3,0,1,1
"USA",1,1,10,7,4,8,100,5,.5,5,2.5,2.8333333,2.1428571,4.75,0,50,0,0,1,0,0,0,-2,-2,-2,-2,0,1,0,0,3,13,1,1
"USA",1,5,5,8,3,4,90,20,.30000001,20,6,1.3333334,2,3.75,1,60.000004,1,0,0,0,0,0,1,-1,-2,-1,0,1,0,0,3,13.45,1,1
"USA",1,2,1,7,6,7,90,10,.30000001,10,3,2.5,1.7142857,3.75,3,80,0,0,0,0,0,0,-2,-2,-2,-2,0,1,0,0,3,13.12,1,1
"USA",4,3,10,10,10,10,100,10,0,10,0,1.8333334,2,4,0,50,0,0,1,0,0,1,2,-2,-1,2,0,0,0,1,3,94.25,1,1
"USA",2,2,10,9,5,8,100,5,.1,5,.5,3,2.2857144,3.75,2,80,0,0,0,0,0,0,-2,-1,-1,-2,0,0,1,0,3,13.45,1,1
"USA",3,2,8,8,0,10,100,5,0,5,0,4,2,3,0,50,1,0,1,1,1,1,-2,-2,-2,2,1,0,0,0,3,0,1,1
"USA",4,5,10,8,0,10,100,10,.1,10,1,2.8333333,2,3,3,0,1,0,1,0,0,0,-1,-1,-2,1,0,0,0,1,3,95,0,0
"USA",3,2,10,10,9,10,100,25,.5,25,12.5,2,2.1428571,3,2,80,0,0,0,1,1,1,-2,-2,-2,-2,1,0,0,0,3,0,1,1
"USA",3,5,0,5,0,0,100,0,0,0,0,3.1666667,2.1428571,5.25,0,0,0,0,0,0,0,0,-2,-2,-2,-2,1,0,0,0,3,0,1,1
"USA",1,4,10,10,0,9,100,5,.1,5,.5,3.1666667,2,4.75,0,50,0,0,0,0,1,0,1,1,1,1,0,1,0,0,3,13,1,1
"USA",1,3,10,10,10,10,100,20,.30000001,20,6,2.8333333,2.2857144,6,3,70,1,1,1,1,1,1,-2,-2,-2,-2,0,1,0,0,3,13.7,1,1
"USA",1,3,6,3,8,6,70,5,.1,5,.5,1.6666666,1.8571428,3.75,1,50,0,0,0,1,1,1,-1,-2,-2,1,0,1,0,0,3,13,1,1
"USA",2,3,10,3,0,0,100,5,0,5,0,4,2.2857144,5.75,1,70,1,0,1,1,1,1,-1,-2,-1,-1,0,0,1,0,3,13.67,1,1
"USA",4,4,10,10,5,5,100,10,.1,10,1,3.1666667,2.4285715,3.25,0,60.000004,0,1,1,1,1,0,-2,-2,-2,-2,0,0,0,1,3,94,1,1
"USA",2,2,7,9,9,10,60.000004,15,.80000001,15,12,2.6666667,2,2.75,2,80,1,1,1,1,0,0,-2,-2,-2,-2,0,0,1,0,3,0,0,0
"USA",3,3,4,2,5,3,90,50,.1,50,5,2,2.2857144,2.5,0,0,0,0,0,0,0,0,-2,1,-2,-2,1,0,0,0,3,0,1,1
"USA",4,4,10,10,10,10,100,20,0,20,0,4.3333335,2.2857144,4,0,50,1,0,1,0,0,0,-2,-2,-2,-2,0,0,0,1,3,94.45,1,1
"USA",3,4,6,9,6,8,60.000004,30,.30000001,30,9,1.3333334,2,3,1,80,1,0,1,1,0,1,1,1,2,-1,1,0,0,0,3,40,0,0
"USA",3,2,7,10,8,8,100,200,1,200,200,2.1666667,1.8571428,3.25,-1,100,0,1,0,0,1,0,1,1,-1,-1,1,0,0,0,3,200,0,0
"USA",2,5,9,10,8,9,70,50,.69999999,50,35,2.6666667,3.1428571,3.25,2,60.000004,0,1,1,0,0,1,2,2,1,2,0,0,1,0,3,13,1,1
"USA",3,1,9,9,9,8,90,100,.80000001,100,80,2.8333333,2.2857144,2.75,2,90,1,1,1,0,1,0,2,1,2,1,1,0,0,0,3,100,0,0
"USA",3,2,0,5,2,6,100,10,.1,10,1,.83333331,2,3.5,0,70,1,0,1,0,1,1,-2,-2,-1,-1,1,0,0,0,3,0,1,1
"USA",1,4,10,10,9,9,100,105,.89999998,105,94.5,2.6666667,2.1428571,2.5,0,80,0,0,0,0,0,0,-2,-1,-1,-2,0,1,0,0,3,13.5,1,1
"USA",3,4,9,10,10,9,100,50.5,.60000002,50.5,30.300001,2.8333333,1.8571428,3.75,1,100,0,0,0,0,0,0,-2,-2,-1,-2,1,0,0,0,3,0,1,1
"USA",1,2,10,8,7,10,100,0,0,0,0,3.8333333,2,3.75,1,70,0,0,0,0,1,0,-2,-2,-2,-2,0,1,0,0,3,13,1,1
"USA",1,2,6,5,5,6,100,1,0,1,0,2.3333333,1.7142857,2.75,1,40,1,0,1,1,0,0,-1,-2,-2,-1,0,1,0,0,3,13.65,1,1
"USA",2,3,0,5,0,0,50,1,0,1,0,.5,2,4.75,0,100,1,0,0,1,0,0,-2,-2,-2,-2,0,0,1,0,3,13.35,1,1
"USA",2,4,10,6,1,5,100,1,.1,1,.1,3.6666667,2.2857144,5,0,10,0,0,1,0,0,0,-1,-2,-2,-2,0,0,1,0,3,13.45,1,1
"USA",2,4,10,9,6,5,100,157.5,.30000001,157.5,47.25,3.1666667,1.5714285,3.75,-2,70,0,0,1,0,0,1,-2,-1,-2,-2,0,0,1,0,3,13.45,1,1
"USA",4,4,10,4,10,10,100,5,0,5,0,4,2.1428571,6,3,0,1,0,1,1,0,0,-2,-2,-2,-2,0,0,0,1,3,94,1,1
"USA",2,1,0,10,10,10,100,0,0,0,0,4.1666665,2.2857144,5.25,0,50,0,0,1,1,1,1,-2,-2,-2,-2,0,0,1,0,3,13,1,1
"USA",4,4,0,0,0,0,0,0,0,0,0,4.6666665,2.2857144,3,-3,0,0,0,0,0,0,0,-2,-2,-2,-2,0,0,0,1,3,96,0,0
"USA",2,1,10,6,10,10,100,30,.80000001,30,24,3.8333333,3.4285715,3.5,3,50,1,1,1,0,0,0,-2,-1,1,-2,0,0,1,0,3,20,0,0
"USA",1,4,10,9,10,10,100,1,0,1,0,2.6666667,2,6,2,50,0,0,0,0,1,0,-2,-2,-2,-2,0,1,0,0,3,13.45,1,1
"USA",1,3,0,8,0,0,100,0,0,0,0,2.3333333,1.5714285,4.75,0,50,0,0,0,0,0,0,-2,-2,-2,-2,0,1,0,0,3,13.45,1,1
"USA",3,3,0,5,9,9,10,10,.1,10,1,2.5,2.1428571,3.75,0,30.000002,0,0,0,0,0,0,-2,-2,-2,-2,1,0,0,0,3,0,1,1
