D,P,Q,R,U,W,X,Y,Z
0,1.5470631626212554,0,0,1,0,-2.7731575033635254,-6.048249486684769,1
0,-0.6151886895347088,1,0,0,0,-0.05242173343570522,-4.259488265399519,0
1,-1.0658757039712554,0,0,1,0,2.876266060833509,-4.157825512436047,0
1,0.12102873539700156,0,0,1,1,1.3908554354677847,-1.2897269182225781,1
0,0.2847909628686875,0,1,1,0,1.6660566446147524,-2.04476079022147,1
1,-1.4247020161630872,1,1,0,0,2.489768379368372,-0.6122068397990982,0
0,2.2166565148935544,0,0,0,1,-2.1926251961100744,-1.401486054696909,0
1,-0.7430103019235271,0,0,1,1,3.1729912707800088,-0.8937035559662518,1
0,0.22362398981933032,0,0,1,0,-0.9287018199753102,-5.4116872020895155,0
1,-0.6084674842611422,1,1,1,0,0.15731953401074383,-6.494318860449086,1
1,0.2811987466825328,0,1,1,1,1.8694790711893117,-1.6130934367918286,1
0,1.3437477654224332,0,0,1,0,-1.2322812237013157,-4.905983786665811,1
1,0.13540040905320183,1,0,1,0,2.9140828013778277,-5.115858332824588,1
0,-0.7626775867394863,0,0,1,0,0.9547463447537742,-3.199469313337988,1
1,0.4830145686522566,0,1,1,1,0.4006939211432454,-2.849206496493482,1
1,-0.5906561074679253,0,0,0,1,0.3646194367412733,1.1398873408439578,0
1,-1.5369033004004709,1,1,0,0,3.6402480903249836,-0.2413412657466824,0
1,1.1125838076532726,1,1,1,0,0.041157829339710905,-10.00685140596869,0
1,-0.4772356784085403,1,1,1,0,3.6407020515132587,-2.8222038750247522,1
0,0.12920024574536976,0,0,1,0,-0.356837537760629,-4.508934855895412,1
1,0.3757904949657032,1,1,1,0,1.166427507207782,-6.315518338132162,1
1,-0.3661688660732875,1,1,0,0,0.38821729552114503,-3.718680117633733,0
1,1.0560195735264382,1,1,0,0,-0.23515340550171623,-5.852071006093804,0
1,-0.4915097609842131,1,1,1,0,3.8779371896865076,-3.9302745454709673,1
0,-0.13995900673208247,1,0,0,0,-0.8270972525313569,-4.668584080962496,0
1,-0.9909682548314004,0,0,1,1,1.816547229974316,-0.8155826973285519,1
1,0.2833689964372869,1,1,0,0,-0.1618380424305591,-4.999379077878654,0
0,1.9590352320842637,1,0,1,0,-0.8499810203235078,-11.989983642526507,0
1,-0.020492096907522746,1,0,1,0,1.8879789260965198,-8.511439401956636,0
1,-0.8684508104237848,1,0,1,0,1.454080809251665,-3.9172300074342794,1
0,0.19738363734235656,0,0,0,1,0.3810035861188197,1.5878035673383066,0
0,1.3592072139133047,0,0,0,1,-0.7782170333248891,0.4093048734629291,0
0,1.5935590615441129,0,1,1,0,-0.3132250369294928,-4.0075922360950695,1
1,-0.16751264670322843,1,1,1,0,2.0811465214606235,-4.452510056151529,1
0,2.355440359060505,1,1,1,0,-1.6082596903933846,-8.901617197241771,1
0,1.461677529284994,0,0,0,1,-0.8031888184948499,1.0254067803715934,1
1,-0.5898184406553859,1,1,0,0,-0.9914318326574556,-2.604786775930225,0
0,1.7503621185909715,0,0,1,1,-0.6407512561990988,-2.6117171589510937,1
0,0.3871726237386414,0,0,0,1,0.2389477217466996,3.7757457531942915,1
1,-0.9489596427271666,1,1,0,0,2.5217535489528773,-1.6303849243097879,0
1,-1.4739877765344556,1,1,0,0,3.0578767046960116,-2.6717613807737033,0
1,0.5306078624517303,1,1,1,0,1.7037562673069067,-4.903265842780205,1
1,0.3047305801688183,0,1,0,1,0.5037379004102042,1.0286157327299779,0
0,1.741074074133053,1,1,1,0,-1.5866938881144412,-8.285256193415446,1
1,-1.8706726494880404,1,0,0,1,3.021695098592201,1.24675807448723,0
1,-0.8172512119832179,1,0,1,0,2.637064797646747,-5.0776135724980955,1
1,0.5894329660843909,0,1,0,1,0.3452302757914719,-1.3718846154977533,0
0,0.8150521896962439,1,1,0,0,-0.9983232162986018,-6.338644998136399,0
1,0.3195398534452461,1,1,1,0,0.7791198993041532,-6.291852801855782,1
1,-0.3423670477270848,1,1,1,1,4.013179666146257,-1.1534958574003145,1
1,0.4575790647277281,1,0,1,0,1.09161929571462,-4.633175453179162,1
1,-1.6510960424970724,1,0,1,0,1.9281827342748317,-5.252951063784704,1
1,0.9477123237785663,1,1,1,0,1.1040767843515258,-7.656995339519412,1
1,-0.5830824854134131,0,1,0,1,0.9109057123566816,1.7387960416543438,0
1,-1.4674702444492558,1,1,1,0,3.7538228343653928,-1.9710194649269284,1
0,0.7958506115110318,0,1,0,1,-0.4782779328526624,3.1849813874193065,1
0,-0.07329711194390831,0,0,0,0,-0.8025369750032751,-0.8660196399820413,0
1,-0.1205489427198,1,1,1,0,3.0658828655283936,-5.887873583339476,0
1,-0.623394333302688,0,0,0,1,-0.11492821370509354,0.6290722653578009,0
1,-1.5744175708945094,1,1,0,0,2.9986198588376305,-1.74503081098241,0
1,0.33349598839482286,1,1,1,0,1.7115078657746075,-9.439220299706642,0
1,-0.9360600006781662,0,1,1,1,4.972809475716094,3.6787681047663616,1
1,-2.0779943038744157,1,1,1,0,5.290582790939791,-3.806599410480869,1
1,-0.2792542167408367,0,0,0,1,2.5229853005412672,1.9186038460729349,0
0,1.0835184575796586,0,0,1,0,-1.7494117018738515,-5.3355222763004635,1
0,1.2280663520303252,0,0,1,0,-0.48324270926607105,-6.384520995075648,0
0,-0.8552290271301682,0,1,1,0,1.7297598692539995,-4.30966027292884,0
1,-0.7197350890555658,1,1,0,1,1.4728166108447085,-0.6684667387647067,1
1,-0.5330804913777464,0,1,0,1,3.1704885090366295,5.530651868292354,1
1,0.55219584203264,1,1,0,0,1.237085945363439,-2.5776700588984163,0
0,-1.7182784677277685,0,0,1,1,2.5640788492032605,0.39669304685416706,1
1,0.12528615264880372,1,1,1,0,1.2916413223929109,-8.520707959062952,0
0,0.9170453955442308,1,1,1,0,0.8706403592836603,-5.687123780788814,1
1,-0.5013713680526317,0,0,1,1,3.6306370677353543,1.4417370267142353,1
1,0.09849692577245922,0,0,1,0,0.059441493318809435,-5.800681383812552,0
0,0.09062706264267852,0,0,0,1,0.9720732821108385,0.19734576944196403,0
1,-0.20632964643934704,0,0,1,1,1.3766669986875752,-0.9493003666235574,1
0,-0.83698568558673625,1,0,0,1,0.6280671975494695,0.3900412960236034,1
1,0.7357147454754561,1,1,1,0,1.6464313203260912,-5.614794073200511,1
1,-0.5385260370152428,0,1,0,1,1.6851466820449514,0.7462040766370496,0
1,0.7076327086923871,1,1,0,0,-0.5560499033983736,-3.1906486339387126,0
1,0.2390196957379532,1,1,0,0,1.5234807142989177,-4.035983903208527,0
0,-0.4084239729692035,0,0,1,0,-1.0616178296179517,-7.577196957433333,0
1,-2.1804540697918924,1,1,1,0,3.2332784070994265,-2.9427187770939223,1
1,-0.6697322390121031,1,1,0,0,1.1117681355619613,-3.4588139895669086,0
1,-1.5294792908301325,0,0,1,1,3.5962786236049005,1.714059054875719,1
1,-1.2730007372109704,0,0,0,1,1.0775641074240885,0.5234576688810908,0
1,-0.14754752201046822,0,0,0,1,1.703596160678005,1.4522229359491177,0
1,0.40551281170216436,0,0,0,1,0.6314897666739153,4.7048423159742,1
1,0.6542491070189347,1,1,1,0,-0.5349684158430146,-7.246539611897361,1
1,-0.9643377717388933,1,0,0,1,1.3220869044762427,-2.8046848640809787,0
1,-0.1506333278151179,1,1,1,0,1.8670748969900757,-7.633624508887356,0
1,0.008012866366694278,0,0,1,1,1.2403046906494668,-1.785816764876866,1
1,0.5575556523202185,0,1,1,1,2.5846537051496625,0.7047516294805238,1
1,-0.7254815717660948,0,1,0,1,1.9809671775424467,0.9782331946117249,0
1,0.4069558364457211,1,1,0,1,-0.32002860117783116,-1.9787149661495265,1
1,1.4951218358610094,1,1,1,0,0.6733116731803919,-5.18588196021424,1
0,0.780733570899428,0,0,0,1,-3.6840231522922133,-0.08063141239916527,1
1,0.2745008243436681,1,0,1,0,2.6324527821409776,-3.8581613162573927,1
1,0.8221917766065767,1,1,1,0,0.5703685477284492,-6.587959979832808,1
1,-1.4482998934991331,0,0,0,1,1.7975318835717047,3.7472264927144803,1
1,0.0015745822822105042,0,0,0,1,1.708039042027075,1.8978123362037642,0
1,-1.725486780555299,1,1,0,0,2.4143968925879395,-1.5402386643336763,0
0,0.7950667873962155,0,1,0,1,1.144438947703244,1.8401781192397988,0
1,-0.8414067490612019,0,1,1,0,2.385773915904287,-2.1435445526647343,1
1,0.19151522576312827,1,1,0,0,0.3477580814585705,-5.260793810173224,0
0,0.43833982918254444,0,0,0,1,-0.7866380258127704,-0.1394095117066695,0
1,1.6104488899531602,1,1,1,0,0.18761860561686874,-8.291799740883192,1
1,-1.8110449217971887,0,0,1,0,3.1787386246075062,-0.41731400346088243,1
1,0.777018062766641,1,1,1,0,-0.0042909438305742675,-7.20144806163978,1
1,1.109081131785546,0,1,1,1,0.16697379562117787,-3.852376277354895,1
0,0.1634638257129315,0,0,0,1,-1.608898131194147,-1.2620757044166668,0
1,-0.48092476953379193,1,1,0,0,1.0915601346207293,-3.3147787106150535,0
1,-0.918917103054787,1,0,0,0,0.5958798642849347,-4.299174992176232,0
1,1.6209110291234339,1,1,1,0,0.4985238571330608,-8.872847608202095,0
1,-0.8318287405950708,1,1,1,0,2.464978257678022,-3.6141387833020735,1
1,1.022645344392956,0,1,1,1,0.6620837698602979,-1.5595172346973076,1
1,3.5026819608277293,1,1,0,1,-1.1467789366238323,-2.5940418641570475,1
0,0.3400157636805534,0,0,1,0,-0.12257634052739952,-2.4097866257131195,1
1,0.6536635763307516,0,1,1,1,2.299208540510258,-0.5298557726414457,1
1,0.6302199833467873,1,1,0,0,-0.19519920660904444,-4.733811551411554,0
1,-1.3684411246665678,1,1,1,0,4.391332888885864,-2.9064134721154185,1
0,1.4807140280628783,1,1,0,0,-1.2485556351230158,-6.1591240658082125,0
1,0.3830327200879112,1,1,0,1,0.2347568434489818,-3.0505347030701273,0
1,-0.008583454757251238,1,1,0,1,0.20964834281198097,1.1722313533911395,1
1,-2.0009437476704006,0,1,1,0,3.025009638814024,1.1632718923892793,1
0,0.8429724579301877,1,0,1,0,-2.447780153776437,-12.533391340584995,0
0,-0.29391889092129414,0,0,0,1,0.5092319955783856,-0.59468066566336,0
1,0.665373023110704,0,0,1,1,0.713768057694557,-1.2815879854015189,1
1,0.4673280501033132,1,0,0,0,-0.9000222906499894,-2.9389103957296454,1
0,0.9491706492060988,0,0,0,1,-2.5525869117245032,-0.489289709330342,1
1,-0.739388108810294,0,0,1,1,2.6572830866848602,0.8375118091682976,1
0,1.5818702401207174,0,0,0,1,-1.0161874999577878,0.4732490918286285,0
1,-0.9034432363770725,1,0,1,1,1.5600763330717087,-3.575650292173203,1
1,-0.13293008471235088,0,1,0,1,1.0831079879293999,3.8559353209725473,1
1,-1.376288510659195,1,1,0,1,2.6361928606718905,0.6073471211296948,1
1,0.2708857333544243,1,1,0,0,-0.7935616755754862,-5.156455655941095,0
1,-1.1013338298190594,0,1,1,1,4.778304285943855,1.8217196639946382,1
1,1.7686371795065081,0,1,0,1,0.31112795729864695,0.050653177768875624,0
0,0.8338599029522444,1,0,0,0,-1.1174298487590126,-5.511799072606591,0
0,-0.13031294558113865,1,0,1,0,-2.9879591983128506e-4,-10.537647505922354,0
1,-0.7493743206624813,1,1,1,0,1.8599562923225545,-5.104036138693298,1
1,-0.016242492452082577,1,0,0,0,1.2088913190571364,-3.3376979289543085,0
1,0.18380344528514286,0,1,0,1,2.1743733061419013,1.5275976448380884,0
1,-0.050891980542165254,1,1,1,0,2.346674938917201,-8.666585292029671,0
0,-0.4241038005558113,1,0,0,0,0.4826616154710407,-3.655099626693647,0
1,2.023940363688732,0,1,1,1,2.3936028293762566,-0.3794142443967806,1
1,-1.2655095806871255,1,1,1,0,4.779434169781953,-4.339585770199754,0
1,-0.19715578456126368,1,1,0,1,1.5819009585874435,-2.4109196840156675,0
1,0.10416846309756572,0,0,1,0,1.0394806068249323,-3.332643203820483,1
0,-0.9473563617712166,0,0,1,0,0.48825016055287485,-1.8273673172447893,1
1,-0.19844519903184102,0,1,0,1,2.271399384361203,1.9066559625880495,0
1,-0.9180991900369369,1,1,1,0,5.1708500886734345,-1.118055625491945,1
1,-1.7732040474204598,0,0,1,0,1.8269274205426136,-2.2194775841613708,1
1,-0.7219185739771327,1,1,0,1,2.7269439491085277,0.05771074288308986,0
1,-1.710981116941148,1,1,0,1,3.0416560413040448,-1.5037790145486527,0
1,0.5149059453044617,0,1,1,0,0.9592957157925859,-5.025975439834963,0
1,0.9135998371101953,1,1,0,0,0.40222947710796675,-3.677496122080274,0
1,-1.0320836209367747,0,0,0,1,2.6157991213110448,2.727012736053833,0
1,-1.2511571391743839,1,0,1,0,2.3015786406244905,-4.085448404928021,1
0,0.65713138229915935,0,0,0,1,0.0021236442410329515,-0.9108875673050116,0
1,1.5514057437087576,1,1,1,0,0.4096652398684974,-8.312133962465825,0
0,1.1162511800419785,0,0,0,1,-1.5360456867660817,-1.0347544428220692,0
0,0.14995729683006365,1,0,0,0,-1.0399121225049686,-2.561579708464238,1
0,0.6408631330661523,0,0,1,1,-0.14309771361897927,-3.3248884633523903,1
1,0.8418412719985786,0,1,0,1,0.11252735999503205,2.0546057734383996,1
1,-0.7678069430655211,1,1,0,1,3.036073843653342,0.8436768090297315,0
1,-0.49029398783171424,0,0,0,1,1.4618408417827404,5.5938014948776775,1
1,1.2893908610371212,1,1,1,0,1.6425990445952245,-7.025753048590643,1
1,-0.2359227881969027,0,1,0,1,1.2804392223992107,4.376957840554797,1
1,-1.0967308730134755,0,0,1,0,1.7175811412280912,-2.8603567337629645,1
1,1.4539391420894352,0,1,0,1,0.4687263893199294,-1.6997760200020737,0
1,-0.1329068205839082,0,1,0,1,1.0993956310487631,4.872713633063402,1
0,0.13954992615407927,0,0,1,1,0.06968477998708356,0.12946744864426085,1
0,2.0553093166927185,1,1,0,0,-2.1036341790756836,-6.707952806955167,0
1,0.36666673982423215,1,1,1,0,3.4144128844718606,-3.2388237169441005,1
1,-1.0792185510182462,1,1,0,0,2.3518725429443483,-1.8008172241765417,0
0,0.5244736615306395,1,0,0,0,0.4681452330502731,-2.967828402062194,0
0,0.6673720979411629,0,0,1,0,0.6435536826123894,-5.339633896803776,0
1,0.07072096549467671,1,1,0,0,0.4318385426281931,-4.403564197661013,0
0,0.6647131888430929,0,0,0,1,-1.1178418365717717,2.115917257330149,1
0,1.2482348086786295,0,0,0,1,-1.745039825848898,0.4681482698054271,0
1,1.5580067205718588,1,1,1,0,-0.9893838038570519,-6.665326372347078,1
0,0.13910837023078704,0,0,0,1,-0.7597187300694015,-0.7487025565885491,0
1,-0.1587579084524878,0,1,1,1,2.1746338666297946,-2.620637858239723,1
1,-0.4841886924404977,1,0,0,1,1.965167317986516,1.1483488813524665,1
0,-0.226995516407821,0,0,1,0,1.2377810589181137,-2.115645962171852,1
0,-0.28671348470497227,1,1,0,0,0.581531681309713,-4.621229744645959,0
1,0.17786997723019687,1,1,1,0,2.109738147934993,-7.716094216676242,0
0,-0.5593940540859437,0,0,1,0,1.5334647265753847,-2.5346770987147966,1
1,-1.0715580376559275,0,1,1,0,2.1595599467959374,-2.9210727603873092,0
0,-0.4217665678365975,0,0,0,1,-2.0496775480255556,1.1476314620410186,1
0,0.4431354058641262,0,0,0,1,-0.7762144956967847,-1.3107183559675355,0
0,-0.5000629340325636,0,0,0,1,1.3234903116872827,2.503744369836665,0
0,-0.21791311803822103,0,1,0,1,0.96599459062618,2.646230613788816,0
1,0.7531839015769698,1,1,0,1,1.0053540336474904,-1.0533914821101815,1
0,0.914760970572984,0,1,1,0,0.00749320932932851,-4.460469795554101,0
1,-0.36948697881546266,0,1,1,1,4.073982945803785,0.2396993079701114,1
0,0.48967863841342246,0,0,0,1,-1.0152608713124271,-1.455422820137819,0
1,-0.2717551431121854,0,1,1,0,3.7299016443427897,-2.6950690076694777,0
0,0.7734753606084229,1,1,1,0,0.5495844909897577,-6.544866788979661,1
1,0.4354849789502584,0,0,1,1,0.8710078648586519,-0.4504087591144399,1
1,0.6060678062336605,1,1,1,0,1.1564261218425826,-5.587468338846748,1
0,0.7684805201496371,0,1,0,1,-1.7879938441982528,-1.1422471688344573,0
1,0.182407855483361,0,0,0,1,1.4378024528804534,5.069193159270941,1
1,-1.0685700564688492,1,1,0,1,2.3929109319727173,-1.340946183683336,0
1,-0.1870845539377826,1,1,1,0,1.7018759151383793,-6.94274131605108,0
0,0.6396420097882016,0,0,1,0,0.0919959523106737,-4.148721503285613,1
1,0.755287596723093,1,1,1,0,3.37577491237529,-2.937455351145653,1
0,0.6898990167064818,0,0,0,0,-1.8610432629651992,-1.2689101292250076,0
0,0.5491758595059063,1,0,0,0,-2.320406948898445,-2.820799467799396,1
1,0.3537240673704785,1,1,0,0,1.7764288087500963,-1.8331677761964231,0
1,0.1670189222238019,1,1,1,0,1.765660748328945,-4.81959740438302,1
0,1.1151080148672476,1,0,0,0,-0.5108569652926149,-3.6561456307666242,0
0,0.889923028912262,1,0,0,0,-0.04864915168133366,-5.021698724574313,0
1,-1.019664265534556,0,0,1,0,3.0291378479184146,-2.2235582746866394,0
1,-0.7018954007382882,0,1,1,1,3.5252347985605383,0.40377509577475074,1
0,1.0352883370615003,0,0,0,1,-0.38996437955095653,-0.046446819590567456,0
1,-1.0159237963612748,1,0,1,0,1.9126731968315454,-6.5526596342299275,1
1,0.3489654686265186,1,1,1,0,2.0942848231535773,-4.420297909679844,1
1,0.36798167539472776,1,1,0,0,1.2512637886770848,-3.0846632768515723,0
1,0.1781726031214235,0,1,1,1,1.626172628710085,-1.8104122308105972,1
1,0.3554159231842704,0,1,0,1,-0.3009571395827092,2.8285520796923613,1
1,-0.13688456306857708,1,1,0,0,-0.2650365386500402,-3.8311676295957655,0
1,-1.1282831203878303,0,1,0,1,0.3579836319466203,0.8391292068916723,0
0,0.04795736448336428,0,0,0,1,0.0660615242026894,2.689636253515593,1
1,0.27373558630920564,1,1,1,0,1.2689423389405907,-9.510868374767892,0
1,-1.0307845127425699,0,1,0,1,1.976742386263387,1.8370573511742478,0
1,-1.589824984144965,0,1,1,0,3.8035485349967146,-0.34941417526308505,0
1,-0.6878748918039911,1,1,1,0,0.3803763936996969,-8.95388103427901,1
1,-1.3134867963905168,0,0,1,0,2.107567547741463,-4.830954531237636,0
1,-0.735679942881609,1,0,1,0,4.086957537077332,-3.061824397484541,1
1,-1.4547117025202527,1,0,0,0,3.391484886103079,-1.1858415899590429,0
1,-0.6193006321723337,1,1,1,0,1.6078945229462043,-8.824502774730329,0
1,0.7135298674521825,0,0,1,0,1.8626650760578105,-2.992722033132708,1
0,0.4275991588162215,1,0,0,0,-1.9971518754514552,-2.8384690659551164,1
1,-0.17532070125620536,1,1,1,0,2.4657898969687606,-3.846284111504988,1
0,0.6263335043613312,1,0,0,0,0.5559304091178472,-2.429660119422876,0
1,0.3429660473920113,1,0,0,0,-0.6144851300199973,-4.961650907842925,0
0,1.2793166175478752,0,0,1,0,-0.7884288222895594,-8.336737175674598,0
0,0.7257998490809879,0,0,0,1,-0.7826893146970189,-1.0623083060732383,0
1,-0.7997669824687182,1,1,1,0,0.21551896866188347,-5.474991114114874,1
1,-1.6152375245642725,0,0,1,0,2.148891329027903,-1.2363963510762506,1
0,-0.6103588708513203,0,0,1,0,-0.7825326367631422,-7.710433095345236,0
1,-0.666491736561109,1,0,0,0,-0.8677746417437718,-3.8358565723339972,0
1,2.5437745598924315,1,1,0,0,-1.4539962484827769,-5.2819033770392805,0
1,1.376459548135117,1,1,0,1,-0.0680383947751026,-0.7597096548591229,1
1,-0.36751158093999714,1,1,0,0,-0.5674748036307562,-0.5181034121366028,1
0,2.0567180391341506,1,0,0,0,-1.7667259245298825,-3.1368928922512307,0
0,1.1878515055070342,1,1,0,1,-1.1122959863711799,-2.451604466790134,1
0,1.98882536445631,0,0,0,1,-2.043770481233806,-0.13493680293482568,0
1,-1.7516066699433785,0,0,0,1,1.8078075360622492,0.8986354531984516,0
0,1.0872904797125578,0,0,1,1,-1.2125806861704236,-3.162184167263487,1
1,0.07320499725791102,0,1,1,0,3.190205391413467,-3.501958063706287,0
0,0.343881335954917,0,0,0,1,-0.9074099699817816,-2.187074934317989,0
0,0.16829903816687627,0,0,0,1,-0.31672257645366647,-0.07608739327450031,0
1,0.8238948967719926,0,1,0,1,0.43017894056539635,-0.036202472051836576,0
0,2.1062168279134235,0,0,0,1,-0.5918204368387716,-0.8868868875669579,0
0,0.5428247059560114,0,0,0,1,-1.8421579539998798,-1.5135368284854476,0
0,0.5292315937450605,0,0,0,1,-0.930825944033656,1.6700923633963538,1
0,1.7561956235068095,0,0,1,1,-1.4254701279431048,-3.8849804637467034,1
1,1.2948303738072549,1,1,1,0,-0.9308713752682298,-6.8184451847313925,1
1,0.8562787157745437,1,0,1,0,0.36141074361975767,-10.29384443208812,0
0,-0.3451209492484655,1,0,0,0,-0.21154027199538694,-4.516370898884771,0
0,-0.39446203758380516,0,0,0,1,-0.010761021555990291,-1.075643984838549,0
1,-1.7337100492178836,0,1,0,1,3.1902027822145698,2.8769469041691664,0
1,-1.8574618650339632,1,1,0,0,3.0682099745323974,-0.39074446330945545,0
0,0.612478586345326,1,0,1,0,-0.388626849399608,-8.026802358731398,1
1,0.021571019134019723,0,1,1,1,1.5900715945901904,-1.9495722217238765,1
1,1.2146770459006924,1,1,1,0,0.3854570985302944,-8.985584317434855,0
0,0.8384080094396402,0,0,1,1,0.5723627821395891,-0.3520185136477365,1
1,-1.3774793767014095,1,1,1,0,2.9366012641173134,-3.988027592801124,1
0,-0.05304270181172783,0,0,1,0,1.4597920302053804,-1.3710782697930373,1
1,-0.9800322367581065,1,1,1,0,1.1894369176956336,-9.214026906458896,0
1,0.057138441854364175,1,0,1,0,1.4446166457917542,-6.1491923200592815,1
1,0.049776828071919695,0,0,1,0,0.9562027571297637,-2.6125089832690964,1
1,-0.6049458414371447,1,0,1,0,1.316016919085086,-4.574132889701941,1
1,0.5350256086796248,0,0,1,1,1.0000017927746085,-0.8974195850893041,1
1,0.42789046916597195,1,1,0,1,3.4102967738091543,1.3648930548407379,1
1,-0.5206050506068685,0,1,0,1,1.8938500975327242,1.7678694964219497,0
1,-2.271909153037545,1,1,1,0,3.3282852738733366,-2.4811125478838063,1
1,-0.47240774251747225,1,1,0,1,2.5865552723443965,-1.6922158568312096,0
1,-0.03966077764231848,1,1,1,0,1.8363192340461758,-4.469621164995968,1
0,0.8469807210807087,0,0,0,1,-2.001909736501776,0.8344710495239414,1
0,-0.1880070925615415,1,0,0,0,-0.1753270696947771,-1.688759747088886,1
0,0.6900104562270342,1,0,1,0,0.6569069868219879,-10.293028281631322,0
0,0.5956813228063205,0,0,1,0,-0.796825766063709,-6.7998842936022825,0
1,-1.1336941819223096,1,1,1,0,2.1829065820794424,-6.80827057265046,0
1,-0.7505011988176987,1,0,0,0,0.7184001285281959,-4.479251199995634,0
1,0.18154584972487448,1,1,0,1,0.6842969490132818,-0.8382149704797026,0
1,1.1397934745216944,1,0,1,0,1.1387722628305315,-4.913431774308284,1
1,-1.7231529278699638,0,1,0,1,1.5594695102691274,5.631536928651557,1
1,-0.16167122953687485,0,0,1,0,1.1464443288005157,-2.0179119934518295,1
0,1.169336410241035,0,1,0,1,-1.085864970770073,0.46615283031660293,0
1,0.1933009417881162,1,1,0,0,0.5164210583434707,-3.256514221470607,0
1,1.7983871766234645,1,0,1,0,0.7042939562732358,-6.744051883885305,1
1,-1.2046098414105058,1,1,0,0,1.6796546345667844,-2.965462882993261,0
0,0.481805594309525,0,0,1,1,0.29482708881883957,-2.7278940922201027,1
1,-0.5747886596375549,1,1,0,0,0.15500613767496096,-4.179367308911041,0
0,-1.3573342317407073,0,0,0,1,0.6187863613765182,-0.5185342686942548,0
0,0.6112547794440069,0,0,0,1,-2.095125185577852,-2.1225675261739787,0
1,1.1415385100256132,0,0,1,1,0.5459982571785099,-2.7764921240419267,1
0,0.5041200940963222,0,0,0,1,0.3191349581779166,3.8232329972939922,1
0,1.353627648597531,0,1,0,1,-2.719512783676014,-1.5058413899673313,0
0,1.2591097740687003,0,0,0,1,-1.1890130963040229,-1.2044952775862594,0
1,-1.0714305140904246,1,1,1,0,3.693026227151132,-4.2714583260317625,1
1,-1.3784833650216444,0,0,0,1,2.395202145689285,2.5178548373752547,0
1,0.5852414954529774,0,1,0,1,0.25080241425089855,0.12697945311703498,0
0,1.0225368108526627,0,0,0,1,-0.34524901284121756,-1.8591895283998936,0
1,0.612003957379312,1,1,1,0,1.0018777564241115,-5.9507978919169435,1
0,0.705226170226782,0,0,1,0,-0.1594096108330798,-3.7033793576300513,1
1,0.3168856361241876,1,1,1,0,1.261484489268347,-7.4056939835774465,0
0,-0.8314044824438105,0,0,0,1,1.0274817232000308,1.470612046730979,0
1,-1.182956098851147,0,0,1,0,1.5391600414054922,-3.755185333055713,0
0,1.7421516494384923,1,0,0,0,-1.886199110358746,-6.076145135595406,0
0,-0.3316332841215634,0,0,0,1,0.9973310655754604,3.0325285161346214,1
0,0.6476317379358353,0,0,0,1,0.6130967125509209,-1.176546103808723,0
