Country Name,Country Code,year,gdp_per_capita,log_gdp_per_capita
India,IND,2019,7034.21722432128,8.858541694604469
Not classified,INX,2019,NA,NA
Ireland,IRL,2019,88240.9010288554,11.387825864991019
"Iran, Islamic Rep.",IRN,2019,NA,NA
Iraq,IRQ,2019,11332.1414748318,9.33539834541464
Iceland,ISL,2019,60061.3705901909,11.00312216162644
Israel,ISR,2019,42193.8255898777,10.650029176283233
Italy,ITA,2019,44196.6931032213,10.696405248597681
Jamaica,JAM,2019,10166.0627751259,9.226810272995248
Jordan,JOR,2019,10316.6090946321,9.241510408941059
Japan,JPN,2019,43235.7175691122,10.674422228206316
Kazakhstan,KAZ,2019,27443.5711721515,10.219887218129434
Kenya,KEN,2019,4509.32244225549,8.413902186677236
Kyrgyz Republic,KGZ,2019,5470.81153606315,8.607182245666273
Cambodia,KHM,2019,4570.6942887569,8.427420395490651
Kiribati,KIR,2019,2369.46552751514,7.770419692880265
St. Kitts and Nevis,KNA,2019,27448.8953536914,10.220081204003765
"Korea, Rep.",KOR,2019,43028.8963533414,10.669627177196526
Kuwait,KWT,2019,51912.0121291754,10.857305489949756
Latin America & Caribbean (excluding high income),LAC,2019,16220.4226728572,9.6940263860757
Lao PDR,LAO,2019,8150.7524258212,9.005865524160129
Lebanon,LBN,2019,15327.3089629507,9.637391415879556
Liberia,LBR,2019,1486.99489806734,7.304512515430288
Libya,LBY,2019,15803.0563753175,9.667958641783459
St. Lucia,LCA,2019,16089.0676701298,9.685895293629498
Latin America & Caribbean,LCN,2019,16797.359329409,9.72897697026357
Least developed countries: UN classification,LDC,2019,3118.81867289938,8.045209578623941
Low income,LIC,2019,2489.11740955395,7.8196834726306905
Liechtenstein,LIE,2019,NA,NA
Sri Lanka,LKA,2019,13620.1184803752,9.519303278665316
Lower middle income,LMC,2019,6833.7777999162,8.829632918233303
Low & middle income,LMY,2019,11120.064352642,9.316506354895921
Lesotho,LSO,2019,2882.42190050236,7.9663861574144414
Late-demographic dividend,LTE,2019,18215.7074249834,9.810039546184166
Lithuania,LTU,2019,38214.2069298982,10.550962634613237
Luxembourg,LUX,2019,121292.73927222,11.705962235533184
Latvia,LVA,2019,32204.4578365291,10.379860164078506
"Macao SAR, China",MAC,2019,129103.014352686,11.768365925537255
St. Martin (French part),MAF,2019,NA,NA
Morocco,MAR,2019,7826.16767727681,8.965228228208709
Monaco,MCO,2019,NA,NA
Moldova,MDA,2019,13574.0514280756,9.515915265975813
Madagascar,MDG,2019,1714.44745387655,7.446846123358977
Maldives,MDV,2019,19698.2357543354,9.888284355098245
Middle East & North Africa,MEA,2019,17471.1804517108,9.768307971063471
Mexico,MEX,2019,20410.7065693914,9.923814873989162
Marshall Islands,MHL,2019,NA,NA
Middle income,MIC,2019,12134.6170158612,9.403817557371045
North Macedonia,MKD,2019,17814.8611785111,9.787788285616148
Mali,MLI,2019,2423.82876458679,7.793103703021848
Malta,MLT,2019,45651.5750035376,10.728793387148373
Myanmar,MMR,2019,5355.2701901514,8.585836437286202
Middle East & North Africa (excluding high income),MNA,2019,NA,NA
Montenegro,MNE,2019,22988.6801996606,10.042757208526078
Mongolia,MNG,2019,12819.9485799073,9.45875771953895
Northern Mariana Islands,MNP,2019,NA,NA
Mozambique,MOZ,2019,1333.51816685082,7.195575966964457
Mauritania,MRT,2019,5412.41916158234,8.596451436694792
Mauritius,MUS,2019,23942.1324115873,10.083395048310903
Malawi,MWI,2019,1103.64361579209,7.006372362939574
Malaysia,MYS,2019,29525.5773629342,10.293012195927176
North America,NAC,2019,63705.0919852776,11.062019775339996
Namibia,NAM,2019,10036.592457889,9.21399293901305
New Caledonia,NCL,2019,NA,NA
Niger,NER,2019,1269.6013993412,7.146458271402203
Nigeria,NGA,2019,5348.33979658925,8.584541473336802
Nicaragua,NIC,2019,5631.20157305166,8.63607812163961
Netherlands,NLD,2019,59686.8316301847,10.996866699341496
Norway,NOR,2019,66831.8688310396,11.109935324068038
Nepal,NPL,2019,3558.39982750064,8.177066236139543
Nauru,NRU,2019,12080.0745947298,9.399312646530154
New Zealand,NZL,2019,43952.54842839,10.690865886151046
OECD members,OED,2019,46466.7439410036,10.746492151644885
Oman,OMN,2019,29052.4973969582,10.276859727499165
Other small states,OSS,2019,23908.795158823,10.082001668501956
Pakistan,PAK,2019,4884.88138953447,8.49390028363645
Panama,PAN,2019,32762.4947471145,10.397039687299394
Peru,PER,2019,13380.3644240996,9.501543569791105
Philippines,PHL,2019,9277.374369233,9.13533385139688
Palau,PLW,2019,NA,NA
Papua New Guinea,PNG,2019,4569.44617953884,8.427147290448088
Poland,POL,2019,34217.7157138218,10.440498792261408
Pre-demographic dividend,PRE,2019,3655.57531853332,8.204008765688341
Puerto Rico,PRI,2019,35948.1919590315,10.489834068672527
"Korea, Dem. People’s Rep.",PRK,2019,NA,NA
Portugal,PRT,2019,36470.7067689104,10.504264663075062
Paraguay,PRY,2019,13210.3079115965,9.488752706222503
West Bank and Gaza,PSE,2019,NA,NA
Pacific island small states,PSS,2019,7608.47758320221,8.937018376072357
Post-demographic dividend,PST,2019,51125.491508359,10.842038507154323
French Polynesia,PYF,2019,NA,NA
Qatar,QAT,2019,96490.9838735541,11.477204851599963
Romania,ROU,2019,32297.3033740157,10.382739018852947
Russian Federation,RUS,2019,29181.3632177676,10.281285538523846
Rwanda,RWA,2019,2318.48623032223,7.748669764768043
South Asia,SAS,2019,6527.25653902826,8.783742002141706
Saudi Arabia,SAU,2019,48908.4823773339,10.797706124169027
Sudan,SDN,2019,4122.52668491946,8.324221527407216
Senegal,SEN,2019,3535.56877916446,8.170629464727073
Singapore,SGP,2019,101375.775310612,11.52658943933532
Solomon Islands,SLB,2019,2465.52064273051,7.810158278263692
Sierra Leone,SLE,2019,1789.58843099795,7.48974094558079
El Salvador,SLV,2019,9139.70633420179,9.120383534194803
San Marino,SMR,2019,NA,NA
Somalia,SOM,2019,NA,NA
Serbia,SRB,2019,18989.0396642879,9.851617231926642
Sub-Saharan Africa (excluding high income),SSA,2019,3893.96331892866,8.267182765992724
South Sudan,SSD,2019,NA,NA
Sub-Saharan Africa,SSF,2019,3919.2131462872,8.27364618464799
Small states,SST,2019,21510.3257762081,9.976288367484516
Sao Tome and Principe,STP,2019,4128.062158576,8.325563364842605
Suriname,SUR,2019,17005.4267499399,9.741287792683003
Slovak Republic,SVK,2019,34177.9527593862,10.439336059012271
Slovenia,SVN,2019,40656.5573650452,10.612915414759687
Sweden,SWE,2019,55814.5126535272,10.929789197950123
Eswatini,SWZ,2019,9048.17892189938,9.11031879234617
Sint Maarten (Dutch part),SXM,2019,NA,NA
Seychelles,SYC,2019,30259.9610295443,10.317580699487728
Syrian Arab Republic,SYR,2019,NA,NA
Turks and Caicos Islands,TCA,2019,NA,NA
Chad,TCD,2019,1645.09415290703,7.405552897371311
East Asia & Pacific (IDA & IBRD countries),TEA,2019,15188.8143081211,9.628314535144966
Europe & Central Asia (IDA & IBRD countries),TEC,2019,24028.13861947,10.086980865034066
Togo,TGO,2019,1662.07234490352,7.415820503290858
Thailand,THA,2019,19228.2946818444,9.86413815455922
Tajikistan,TJK,2019,3519.82201670116,8.1661657038766
Turkmenistan,TKM,2019,NA,NA
Latin America & the Caribbean (IDA & IBRD countries),TLA,2019,16736.9961133691,9.725376884295716
Timor-Leste,TLS,2019,3252.546371144,8.087193467362354
Middle East & North Africa (IDA & IBRD countries),TMN,2019,NA,NA
Tonga,TON,2019,NA,NA
South Asia (IDA & IBRD),TSA,2019,6527.25653902825,8.783742002141704
Sub-Saharan Africa (IDA & IBRD countries),TSS,2019,3919.2131462872,8.27364618464799
Trinidad and Tobago,TTO,2019,27260.8112233827,10.213205463552521
Tunisia,TUN,2019,11201.3437583802,9.323789028513154
Turkey,TUR,2019,27875.1932514847,10.235492441527077
Tuvalu,TUV,2019,4465.23093078823,8.404076212194482
Tanzania,TZA,2019,2770.68117187672,7.92684847937518
Uganda,UGA,2019,2271.64942402167,7.728261465127775
Ukraine,UKR,2019,13341.2105189612,9.498613058902983
Upper middle income,UMC,2019,17524.5904421071,9.771360341707148
Uruguay,URY,2019,22454.6579433455,10.01925335242187
United States,USA,2019,65118.358332816,11.083961790481743
Uzbekistan,UZB,2019,7288.76562624693,8.894089486419773
St. Vincent and the Grenadines,VCT,2019,12982.896388735,9.471388107795018
"Venezuela, RB",VEN,2019,NA,NA
British Virgin Islands,VGB,2019,NA,NA
Virgin Islands (U.S.),VIR,2019,NA,NA
Vietnam,VNM,2019,8374.44432824534,9.032940005625855
Vanuatu,VUT,2019,3273.91494425231,8.093741778440382
World,WLD,2019,17673.1123651663,9.77979968818273
Samoa,WSM,2019,6787.13142581817,8.822783660862546
Kosovo,XKX,2019,11838.8809953665,9.379144393445117
"Yemen, Rep.",YEM,2019,NA,NA
South Africa,ZAF,2019,12999.1202555973,9.472636961507416
Zambia,ZMB,2019,3623.69939478386,8.195250715263256
Zimbabwe,ZWE,2019,2953.48411281195,7.990740807627337
