mct_code,ccode_a,ccode_b,year,primary_challenger,territory,leadership,policy,reparations,other,demonstration,force,target_fatalities,compliance,version
MCT-029,325,345,1923,1,1,0,0,0,0,1,0,0,2,0.9
MCT-030,325,350,1923,1,0,0,0,1,1,1,1,0,2,0.9
MCT-031,345,355,1923,1,0,0,0,0,1,1,0,0,2,0.9
MCT-032,345,355,1923,1,0,0,0,0,1,1,0,0,2,0.9
MCT-033,200,640,1924,1,1,0,0,0,0,0,0,0,0,0.9
MCT-034,350,355,1925,1,0,0,0,1,1,1,1,0,0,0.9
MCT-035,710,740,1928,1,1,0,0,0,1,0,1,0,0,0.9
MCT-036,740,710,1928,1,0,0,1,0,1,1,1,1,0,0.9
MCT-037,740,710,1929,1,0,0,0,0,1,0,0,0,0,0.9
MCT-038,365,710,1929,1,0,0,1,0,1,1,1,1,0,0.9
MCT-039,740,710,1931,1,0,0,0,0,1,1,1,1,0,0.9
MCT-040,740,710,1931,1,1,0,0,0,0,0,1,1,0,0.9
MCT-041,740,710,1932,1,1,0,1,1,1,1,1,1,0,0.9
MCT-042,740,710,1932,1,1,0,1,0,0,0,1,1,0,0.9
MCT-043,740,710,1933,1,1,0,0,0,0,1,1,1,0,0.9
MCT-044,740,710,1933,1,1,0,0,0,0,1,1,1,0,0.9
MCT-045,325,339,1934,1,0,0,0,0,1,1,0,0,0,0.9
MCT-046,740,710,1934,1,1,0,1,0,1,1,1,1,0,0.9
MCT-047,325,530,1934,1,0,0,0,1,1,1,1,1,0,0.9
MCT-048,740,712,1935,1,1,0,0,0,0,1,0,0,2,0.9
MCT-049,740,710,1935,1,1,1,1,0,0,1,0,0,2,0.9
MCT-050,740,710,1935,1,1,1,1,0,1,1,0,0,0,0.9
MCT-051,740,710,1935,1,1,0,1,0,1,1,1,0,2,0.9
MCT-052,740,712,1935,1,0,0,1,0,1,0,0,0,0,0.9
MCT-053,740,710,1935,1,0,0,1,0,1,1,0,0,2,0.9
MCT-054,740,710,1935,1,1,0,0,1,1,1,0,0,0,0.9
MCT-055,740,710,1935,1,1,0,0,0,0,1,0,0,1,0.9
MCT-056,740,710,1936,1,0,0,1,0,0,1,0,0,0,0.9
MCT-057,740,712,1936,1,1,0,0,0,0,1,1,0,0,0.9
MCT-058,740,710,1936,1,1,0,1,1,1,1,1,1,1,0.9
MCT-059,640,220,1936,1,1,0,0,0,0,1,0,0,2,0.9
MCT-060,740,365,1937,1,1,0,0,0,0,1,1,0,2,0.9
MCT-061,740,710,1937,1,1,0,0,0,1,1,0,0,0,0.9
MCT-062,740,710,1937,1,1,0,0,0,0,0,1,1,0,0.9
MCT-063,740,365,1937,1,1,0,0,0,0,1,0,0,2,0.9
MCT-064,255,305,1938,1,0,1,1,0,0,1,0,0,2,0.9
MCT-065,255,305,1938,1,0,1,1,0,0,1,0,0,2,0.9
MCT-066,290,368,1938,1,0,0,1,0,1,1,0,0,2,0.9
MCT-067,740,365,1938,1,1,0,0,0,0,1,1,1,0,0.9
MCT-068,255,315,1938,1,1,0,0,0,0,1,0,0,2,0.9
MCT-069,290,315,1938,1,1,0,0,0,0,1,0,0,2,0.9
MCT-070,310,315,1938,1,1,0,1,0,0,1,0,0,2,0.9
MCT-071,255,315,1939,1,1,1,0,0,1,1,0,0,2,0.9
MCT-072,310,315,1939,1,1,0,1,0,0,1,1,0,2,0.9
MCT-073,310,311,1939,1,1,1,0,0,0,1,1,0,2,0.9
MCT-074,255,368,1939,1,1,0,0,0,0,1,0,0,2,0.9
MCT-075,255,290,1939,1,1,0,0,0,0,1,0,0,0,0.9
MCT-076,325,339,1939,1,1,0,1,0,1,1,1,1,0,0.9
MCT-077,740,200,1939,1,0,0,1,0,1,1,0,0,2,0.9
MCT-078,255,290,1939,1,1,0,0,0,0,1,1,1,0,0.9
MCT-079,255,220,1939,1,1,0,1,0,0,0,1,1,0,0.9
MCT-080,255,200,1939,1,1,0,1,0,0,0,0,0,0,0.9
MCT-081,200,255,1939,1,1,0,1,0,0,1,0,0,0,0.9
MCT-081,220,255,1939,0,1,0,1,0,0,1,0,0,0,0.9
MCT-082,365,366,1939,1,1,0,1,0,1,1,0,0,2,0.9
MCT-083,365,367,1939,1,1,0,1,0,1,1,0,0,2,0.9
MCT-084,365,368,1939,1,1,0,1,0,0,1,0,0,2,0.9
MCT-085,365,375,1939,1,1,0,0,0,0,1,1,1,0,0.9
MCT-086,255,385,1940,1,1,0,1,0,0,1,1,1,0,0.9
MCT-087,255,390,1940,1,1,0,1,0,0,1,1,0,2,0.9
MCT-088,365,368,1940,1,0,1,1,0,0,1,0,0,2,0.9
MCT-089,365,366,1940,1,0,1,1,0,0,1,1,0,2,0.9
MCT-090,365,367,1940,1,0,1,1,0,0,1,1,0,2,0.9
MCT-091,740,200,1940,1,1,0,1,0,0,1,0,0,2,0.9
MCT-092,365,360,1940,1,1,0,0,0,0,1,0,0,2,0.9
MCT-093,310,365,1940,1,0,0,1,0,0,1,0,0,2,0.9
MCT-094,310,360,1940,1,1,0,0,0,0,1,1,0,2,0.9
MCT-095,740,220,1940,1,0,0,1,0,1,1,0,0,2,0.9
MCT-096,325,350,1940,1,1,1,0,0,0,0,1,1,0,0.9
MCT-096,255,350,1940,0,1,1,0,0,0,0,1,1,0,0.9
MCT-097,365,375,1941,1,1,0,1,0,0,1,0,0,0,0.9
MCT-098,200,645,1941,1,1,0,0,0,0,1,1,0,0,0.9
MCT-099,645,200,1941,1,1,0,0,0,0,1,1,0,0,0.9
MCT-100,200,375,1941,1,0,0,1,0,0,0,0,0,0,0.9
MCT-101,365,630,1941,1,0,0,1,0,0,1,1,1,2,0.9
MCT-101,200,630,1941,0,0,0,1,0,0,1,1,1,2,0.9
MCT-102,365,630,1944,1,1,0,1,0,0,1,0,0,0,0.9
MCT-103,365,360,1945,1,0,1,1,0,0,0,0,0,2,0.9
MCT-104,200,345,1945,1,1,0,0,0,0,1,0,0,2,0.9
MCT-105,200,220,1945,1,0,0,1,0,0,1,0,0,2,0.9
MCT-106,365,640,1945,1,1,0,1,0,0,0,0,0,0,0.9
MCT-107,365,630,1946,1,1,0,1,0,1,1,0,1,0,0.9
MCT-108,365,640,1946,1,1,0,1,0,0,1,0,0,0,0.9
MCT-109,750,770,1947,1,1,0,0,0,0,1,1,0,0,0.9
MCT-110,750,751,1948,1,1,0,1,0,0,1,1,1,0,0.9
MCT-111,200,666,1948,1,1,0,0,0,0,1,0,0,2,0.9
MCT-112,365,345,1949,1,0,0,1,0,0,1,0,0,0,0.9
MCT-113,200,670,1952,1,1,0,0,0,0,1,1,0,0,0.9
MCT-114,200,651,1956,1,1,0,1,0,0,1,1,1,0,0.9
MCT-114,220,651,1956,0,1,0,1,0,0,1,1,1,0,0.9
MCT-115,365,200,1956,1,1,0,0,0,0,1,0,0,2,0.9
MCT-116,365,220,1956,1,1,0,0,0,0,1,0,0,2,0.9
MCT-117,600,230,1957,1,1,0,0,0,0,0,1,0,2,0.9
MCT-118,616,220,1958,1,1,0,0,0,0,1,0,0,2,0.9
MCT-119,710,750,1959,1,1,0,0,0,0,1,1,0,0,0.9
MCT-120,630,645,1959,1,1,0,1,0,0,1,1,0,2,0.9
MCT-121,750,235,1961,1,1,0,0,0,0,1,1,0,2,0.9
MCT-122,850,210,1961,1,1,0,0,0,0,1,1,0,2,0.9
MCT-123,2,42,1961,1,0,1,0,0,0,1,0,0,2,0.9
MCT-124,750,710,1962,1,1,0,0,0,0,1,1,1,0,0.9
MCT-125,2,365,1962,1,1,0,0,0,1,1,0,0,2,0.9
MCT-126,42,41,1963,1,0,0,0,0,1,1,0,0,2,0.9
MCT-127,640,200,1963,1,0,0,1,0,0,1,0,0,2,0.9
MCT-128,640,352,1964,1,0,0,1,0,1,0,0,0,0,0.9
MCT-129,2,816,1964,1,0,0,1,0,0,1,1,1,0,0.9
MCT-130,352,640,1964,1,0,0,1,0,0,1,0,0,2,0.9
MCT-130,350,640,1964,0,0,0,1,0,0,1,0,0,2,0.9
MCT-131,750,770,1965,1,1,0,0,0,0,1,1,1,0,0.9
MCT-132,770,750,1965,1,1,0,0,0,0,0,1,1,0,0.9
MCT-132,710,750,1965,0,1,0,0,0,0,1,1,1,0,0.9
MCT-133,710,750,1965,1,1,0,0,0,1,1,1,0,0,0.9
MCT-134,651,670,1966,1,0,0,1,0,0,0,1,0,2,0.9
MCT-135,501,520,1967,1,1,0,1,0,0,0,0,0,2,0.9
MCT-136,666,651,1967,1,0,0,1,0,0,1,1,1,0,0.9
MCT-137,640,350,1967,1,1,1,0,0,0,1,0,0,2,0.9
MCT-138,2,731,1968,1,0,0,0,0,1,1,0,0,0,0.9
MCT-139,365,315,1968,1,0,1,1,0,0,1,1,0,2,0.9
MCT-140,651,666,1969,1,1,0,0,0,0,0,1,1,0,0.9
MCT-141,365,710,1969,1,1,0,0,0,0,1,1,1,0,0.9
MCT-142,365,710,1969,1,0,0,1,0,0,1,1,0,2,0.9
MCT-143,666,660,1970,1,0,0,1,0,0,0,1,0,0,0.9
MCT-144,811,816,1970,1,1,0,0,0,0,1,1,1,0,0.9
MCT-145,645,663,1970,1,0,0,1,0,0,0,0,0,0,0.9
MCT-146,2,365,1970,1,0,0,1,0,0,1,0,0,2,0.9
MCT-147,666,660,1972,1,0,0,1,0,0,0,1,0,0,0.9
MCT-148,645,690,1973,1,1,0,0,0,0,1,1,0,0,0.9
MCT-149,395,200,1973,1,1,0,1,0,0,1,1,0,2,0.9
MCT-150,620,698,1975,1,0,0,1,0,0,0,0,0,0,0.9
MCT-151,645,652,1975,1,0,0,1,0,0,0,0,0,1,0.9
MCT-152,2,811,1975,1,0,0,1,0,0,1,1,0,1,0.9
MCT-153,600,230,1975,1,1,0,1,0,0,1,0,0,2,0.9
MCT-154,395,200,1975,1,1,0,1,0,0,1,1,0,2,0.9
MCT-155,615,435,1975,1,1,0,1,0,0,1,0,0,0,0.9
MCT-156,645,652,1976,1,0,0,1,0,0,1,0,0,0,0.9
MCT-157,500,501,1976,1,0,0,0,0,1,1,0,0,2,0.9
MCT-158,160,155,1977,1,1,0,0,0,0,1,0,0,0,0.9
MCT-159,620,651,1977,1,1,0,0,0,0,1,1,1,0,0.9
MCT-160,452,461,1977,1,0,0,1,0,0,0,0,0,2,0.9
MCT-161,666,652,1978,1,0,0,1,0,0,1,0,0,0,0.9
MCT-162,160,155,1978,1,1,0,0,0,0,1,0,0,1,0.9
MCT-163,93,94,1978,1,0,0,1,0,0,0,0,0,0,0.9
MCT-164,710,816,1979,1,1,0,0,0,0,1,1,1,0,0.9
MCT-165,365,710,1979,1,1,0,0,0,0,1,0,0,0,0.9
MCT-166,620,510,1979,1,1,0,0,0,0,1,1,0,0,0.9
MCT-167,620,483,1979,1,0,1,0,0,0,1,1,0,0,0.9
MCT-168,2,630,1979,1,0,0,0,0,1,1,1,0,0,0.9
MCT-169,645,630,1980,1,1,0,0,0,0,1,1,0,0,0.9
MCT-170,560,541,1980,1,0,0,1,0,0,1,1,0,0,0.9
MCT-171,652,663,1980,1,0,0,1,0,0,1,0,0,0,0.9
MCT-172,666,652,1981,1,0,0,1,0,0,1,0,0,0,0.9
MCT-173,771,750,1981,1,1,0,0,0,0,1,0,0,2,0.9
MCT-174,200,160,1982,1,1,0,0,0,0,1,1,1,0,0.9
MCT-175,812,800,1984,1,1,0,0,0,0,1,1,0,0,0.9
MCT-176,560,571,1985,1,0,0,1,0,0,0,1,0,0,0.9
MCT-177,620,616,1985,1,0,0,0,0,1,1,0,0,0,0.9
MCT-178,560,552,1985,1,0,0,1,0,0,0,1,0,0,0.9
MCT-179,560,551,1985,1,0,0,1,0,0,0,1,0,0,0.9
MCT-180,560,570,1985,1,0,0,1,0,0,0,1,0,1,0.9
MCT-181,560,571,1985,1,0,0,1,0,0,0,1,0,0,0.9
MCT-182,630,670,1986,1,0,0,1,0,0,0,0,0,0,0.9
MCT-183,630,690,1986,1,0,0,1,0,0,0,0,0,0,0.9
MCT-184,541,553,1986,1,0,0,1,0,0,0,0,0,2,0.9
MCT-185,101,100,1987,1,1,0,0,0,0,1,0,0,2,0.9
MCT-186,91,93,1988,1,1,0,0,0,0,1,1,0,2,0.9
MCT-187,2,95,1989,1,0,1,0,0,0,1,1,1,0,0.9
MCT-188,645,690,1990,1,1,0,1,1,0,1,1,1,1,0.9
MCT-189,2,645,1990,1,1,0,0,0,1,1,1,1,0,0.9
MCT-189,200,645,1990,0,1,0,0,0,1,1,1,1,0,0.9
MCT-189,670,645,1990,0,1,0,0,0,1,1,1,1,0,0.9
MCT-190,640,371,1992,1,1,0,0,0,0,0,0,0,0,0.9
MCT-191,345,344,1993,1,1,0,0,0,0,0,0,0,0,0.9
MCT-192,2,345,1993,1,1,0,1,0,0,0,0,0,0,0.9
MCT-192,200,345,1993,0,1,0,1,0,0,0,0,0,0,0.9
MCT-192,220,345,1993,0,1,0,1,0,0,0,0,0,0,0.9
MCT-193,775,800,1992,1,1,0,0,0,0,1,1,0,0,0.9
MCT-194,2,345,1994,1,1,0,0,0,0,1,0,0,2,0.9
MCT-194,200,345,1994,0,1,0,0,0,0,1,0,0,2,0.9
MCT-194,220,345,1994,0,1,0,0,0,0,1,0,0,2,0.9
MCT-195,560,570,1994,1,0,1,0,0,0,1,0,0,2,0.9
MCT-196,2,41,1994,1,0,1,0,0,0,1,0,0,2,0.9
MCT-197,500,625,1995,1,0,0,1,0,0,1,1,1,0,0.9
MCT-198,531,679,1995,1,1,0,0,0,0,1,1,0,0,0.9
MCT-199,2,645,1997,1,0,0,1,0,0,1,0,0,2,0.9
MCT-200,530,531,1998,1,1,0,0,0,0,1,1,0,0,0.9
MCT-201,490,517,1998,1,1,0,0,0,0,0,1,1,0,0.9
MCT-202,630,700,1998,1,0,0,1,0,0,1,0,0,1,0.9
MCT-203,2,700,1998,1,0,0,1,0,1,0,1,0,0,0.9
MCT-204,640,652,1998,1,0,0,1,0,0,1,0,0,2,0.9
MCT-205,2,345,1998,1,1,0,1,0,0,1,1,1,0,0.9
MCT-205,200,345,1998,0,1,0,1,0,0,1,1,1,0,0.9
MCT-205,220,345,1998,0,1,0,1,0,0,1,1,1,0,0.9
MCT-206,2,645,1998,1,0,0,1,0,0,1,1,0,0,0.9
MCT-206,200,645,1998,0,0,0,1,0,0,1,1,0,0,0.9
MCT-207,451,450,1999,1,0,0,1,0,0,0,0,0,0,0.9
MCT-207,475,450,1999,0,0,0,1,0,0,0,0,0,0,0.9
MCT-208,2,700,2001,1,0,0,1,0,1,1,1,1,0,0.9
MCT-208,200,700,2001,0,0,0,1,0,1,1,1,1,0,0.9
MCT-209,373,371,2001,1,1,0,0,0,0,0,0,0,0,0.9
MCT-210,750,770,2001,1,0,0,1,0,0,1,0,0,1,0.9
